"Table 6.8D. Persons Engaged in Production by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","",""
"1","            Persons engaged in production1",128099,130449,133221,133317,131888,131669,132902,135147,137481,138616,137190,130484,129378,130588,133050,134948,137488,140558,142531,144553,147135
"2","Domestic industries",128500,130890,133617,133858,132437,132261,133530,135812,138167,139341,138290,131286,130200,131414,134029,136014,138684,141814,143935,146008,148596
"3","    Private industries",109802,112041,114512,114427,112621,112340,113573,115814,118136,119082,117719,110678,109636,111139,113994,116094,118654,121750,123757,125698,128161
"4","        Agriculture, forestry, fishing, and hunting",2180,2183,2166,2070,2075,2049,2007,1971,2000,1958,1948,1896,1920,1958,1917,1956,1944,2053,2070,2011,1987
"5","            Farms2",1622,1643,1631,1629,1654,1611,1554,1525,1450,1404,1394,1383,1383,1416,1366,1382,1368,1460,1474,1413,1382
"6","            Forestry, fishing, and related activities",558,540,535,441,421,438,454,446,549,555,554,513,538,543,551,573,576,593,597,599,605
"7","        Mining",568,529,520,548,513,501,523,560,616,667,723,648,662,734,800,813,850,761,618,626,673
"8","            Oil and gas extraction",140,129,125,127,123,120,122,127,133,145,159,160,160,169,188,195,201,194,173,144,141
"9","            Mining, except oil and gas",241,231,218,220,210,198,205,210,218,221,227,208,207,214,216,207,205,198,181,184,189
"10","            Support activities for mining",187,170,176,202,181,182,196,224,264,301,337,280,295,351,396,410,444,368,263,299,342
"11","        Utilities",598,594,592,592,580,559,553,541,543,544,554,555,546,545,544,540,544,547,549,547,546
"12","        Construction",7773,8094,8397,8512,8356,8461,8859,9145,9516,9460,8928,7557,7100,6963,7019,7273,7638,7989,8268,8459,8834
"13","        Manufacturing",17574,17372,17272,16481,15288,14539,14337,14267,14215,13939,13436,11835,11523,11719,11960,12015,12196,12360,12306,12463,12649
"14","            Durable goods",10992,10895,10921,10402,9522,9008,8970,9019,9039,8860,8515,7289,7086,7297,7523,7569,7713,7793,7714,7769,7953
"15","                Wood products",623,640,629,594,573,546,562,574,566,533,473,371,357,349,353,363,381,387,398,406,422
"16","                Nonmetallic mineral products",548,554,565,551,526,502,505,510,522,510,469,391,371,374,381,380,390,403,412,418,421
"17","                Primary metals",638,619,613,562,502,486,480,464,462,448,437,356,356,384,400,394,394,388,366,361,373
"18","                Fabricated metal products",1750,1743,1761,1674,1547,1465,1478,1529,1560,1558,1523,1307,1283,1338,1405,1429,1465,1456,1416,1412,1452
"19","                Machinery",1494,1452,1443,1358,1218,1144,1134,1155,1172,1184,1181,1007,987,1050,1098,1097,1112,1108,1065,1068,1103
"20","                Computer and electronic products",1812,1737,1784,1736,1483,1341,1310,1296,1295,1262,1236,1125,1089,1098,1088,1053,1036,1045,1040,1035,1042
"21","                Electrical equipment, appliances, and components",601,591,597,558,495,457,439,431,427,424,419,366,353,360,368,371,376,376,380,388,392
"22","                Motor vehicles, bodies and trailers, and parts",1269,1311,1312,1213,1149,1109,1105,1092,1062,986,875,667,674,719,775,815,869,911,940,970,999
"23","                Other transportation equipment",804,779,743,726,679,647,652,675,694,713,727,673,649,658,678,684,684,687,675,675,693
"24","                Furniture and related products",670,691,700,672,627,603,599,592,579,552,500,406,368,369,365,376,387,398,399,410,412
"25","                Miscellaneous manufacturing",782,776,774,757,722,708,706,702,699,689,675,618,599,598,611,606,618,635,623,624,643
"26","            Nondurable goods",6582,6477,6351,6080,5766,5531,5367,5248,5176,5079,4922,4546,4436,4422,4437,4446,4483,4567,4592,4693,4696
"27","                Food and beverage and tobacco products",1748,1761,1754,1744,1717,1689,1673,1648,1645,1647,1644,1615,1588,1610,1631,1642,1653,1715,1754,1832,1857
"28","                Textile mills and textile product mills",657,624,603,531,492,453,418,386,363,351,321,265,251,243,249,241,243,244,239,239,230
"29","                Apparel and leather and allied products",724,639,565,499,427,371,334,311,294,270,242,217,200,194,189,186,175,184,169,162,151
"30","                Paper products",624,610,599,567,533,504,486,471,461,447,430,395,384,379,371,368,365,365,362,362,356
"31","                Printing and related support activities",809,802,793,789,728,697,678,658,648,646,604,532,505,480,466,464,466,460,457,448,433
"32","                Petroleum and coal products",122,124,121,119,118,115,110,110,111,114,116,113,109,111,111,110,111,110,110,112,112
"33","                Chemical products",980,977,973,948,913,892,875,873,866,853,844,788,783,781,784,790,801,809,809,830,833
"34","                Plastics and rubber products",918,939,943,883,839,810,793,791,789,751,721,619,617,624,636,646,669,682,692,708,723
"35","        Wholesale trade",5564,5679,5782,5761,5631,5641,5673,5819,5932,6013,5974,5563,5453,5513,5604,5697,5773,5824,5849,5869,5821
"36","            Durable goods",3291,3367,3441,3412,3278,3267,3292,3390,3469,3515,3487,3192,3102,3157,3229,3278,3319,3346,3367,3386,3398
"37","            Nondurable goods",2274,2311,2341,2349,2353,2375,2381,2429,2463,2498,2487,2371,2350,2356,2375,2419,2453,2478,2482,2483,2423
"38","        Retail trade",13295,13627,13999,14401,14206,14153,14183,14476,14495,14610,14288,13419,13245,13400,13590,13715,13962,14335,14516,14565,14502
"39","            Motor vehicle and parts dealers",1567,1612,1665,1732,1736,1750,1768,1789,1777,1769,1690,1490,1463,1511,1566,1608,1662,1739,1784,1801,1815
"40","            Food and beverage stores",2606,2645,2668,2729,2676,2613,2564,2578,2576,2603,2617,2537,2501,2506,2565,2600,2669,2742,2765,2778,2747
"41","            General merchandise stores",2240,2291,2377,2482,2463,2462,2497,2588,2608,2659,2673,2600,2563,2652,2672,2650,2692,2758,2799,2723,2705
"42","            Other retail3",6882,7079,7288,7458,7331,7327,7354,7521,7535,7579,7308,6792,6718,6730,6787,6856,6939,7096,7168,7262,7235
"43","        Transportation and warehousing",4402,4477,4563,4571,4428,4373,4489,4623,4691,4730,4697,4382,4289,4394,4543,4590,4788,5032,5146,5357,5586
"44","            Air transportation",532,554,577,588,538,506,492,481,462,469,473,439,427,434,440,428,431,443,451,469,481
"45","            Rail transportation",212,207,198,191,184,180,180,188,192,190,189,177,175,183,188,188,193,196,179,173,172
"46","            Water transportation",50,50,50,52,52,54,54,59,59,63,65,63,61,62,63,64,67,67,63,61,61
"47","            Truck transportation",1560,1584,1611,1583,1558,1529,1601,1644,1675,1674,1594,1453,1393,1441,1507,1519,1587,1624,1610,1609,1646
"48","            Transit and ground passenger transportation",413,422,419,424,426,425,430,452,461,463,473,475,479,492,492,487,514,549,585,625,634
"49","            Pipeline transportation",48,45,44,43,41,39,36,36,38,40,39,39,40,40,45,42,45,46,46,47,47
"50","            Other transportation and support activities4",1126,1142,1173,1192,1126,1123,1148,1180,1191,1196,1223,1130,1113,1129,1163,1183,1241,1309,1329,1393,1463
"51","            Warehousing and storage",461,473,492,497,504,517,549,583,613,634,642,606,600,612,645,678,710,798,884,980,1083
"52","        Information",3171,3320,3545,3536,3296,3123,3029,2983,2978,2988,2921,2772,2652,2650,2652,2657,2697,2737,2752,2756,2776
"53","            Publishing industries (includes software)",989,1015,1060,1015,955,906,889,893,902,929,894,820,777,790,796,783,801,819,824,825,837
"54","            Motion picture and sound recording industries",370,378,368,390,386,390,378,367,365,372,388,383,385,384,390,395,402,432,451,450,461
"55","            Broadcasting and telecommunications",1407,1477,1582,1632,1512,1402,1352,1317,1295,1359,1319,1271,1194,1168,1139,1137,1134,1088,1078,1054,1019
"56","            Information and data processing services",406,450,534,499,443,425,409,405,415,328,320,298,296,307,326,343,361,398,399,428,458
"57","        Finance and insurance",5639,5722,5720,5876,5865,5980,6038,6129,6281,6268,6120,5821,5747,5804,5899,5935,5993,6128,6217,6329,6414
"58","            Federal Reserve banks, credit intermediation, and related activities",2442,2481,2441,2562,2627,2723,2776,2849,2892,2850,2705,2562,2505,2509,2554,2577,2533,2539,2579,2618,2626
"59","            Securities, commodity contracts, and investments",889,918,975,945,887,881,890,912,949,998,1011,933,910,915,911,912,938,969,979,993,1040
"60","            Insurance carriers and related activities",2291,2307,2288,2352,2336,2360,2356,2351,2423,2412,2397,2319,2327,2375,2431,2442,2517,2614,2648,2705,2734
"61","            Funds, trusts, and other financial vehicles",17,17,17,16,15,16,16,17,17,8,8,7,5,4,3,3,6,7,10,12,14
"62","        Real estate and rental and leasing",2188,2219,2245,2327,2321,2384,2448,2472,2540,2499,2438,2251,2187,2183,2237,2319,2314,2349,2435,2490,2588
"63","            Real estate",1583,1603,1617,1672,1696,1768,1831,1852,1905,1880,1826,1710,1685,1686,1727,1799,1795,1815,1888,1930,2023
"64","            Rental and leasing services and lessors of intangible assets5",605,616,628,656,625,616,617,620,635,619,611,540,502,497,510,520,519,534,547,561,565
"65","        Professional, scientific, and technical services",6901,7201,7576,7780,7491,7523,7688,7935,8255,8489,8646,8255,8241,8440,8695,8924,9081,9337,9630,9768,10098
"66","            Legal services",1188,1207,1223,1268,1272,1325,1329,1338,1351,1321,1331,1282,1262,1279,1280,1287,1278,1243,1269,1265,1299
"67","            Computer systems design and related services",1102,1218,1338,1363,1218,1194,1220,1282,1347,1431,1514,1476,1517,1570,1662,1756,1816,1931,2032,2088,2163
"68","            Miscellaneous professional, scientific, and technical services6",4612,4776,5015,5149,5001,5004,5139,5316,5557,5737,5801,5498,5462,5591,5754,5881,5987,6163,6329,6415,6636
"69","        Management of companies and enterprises7",1581,1614,1626,1636,1626,1664,1672,1745,1771,1811,1821,1798,1793,1826,1885,1978,2004,2072,2131,2182,2245
"70","        Administrative and waste management services",7643,8026,8383,7944,7765,7649,7989,8226,8435,8616,8282,7500,7742,8021,8307,8529,8802,9057,9257,9449,9517
"71","            Administrative and support services",7338,7718,8072,7619,7435,7322,7660,7885,8084,8252,7915,7149,7381,7648,7926,8141,8402,8650,8838,9021,9082
"72","            Waste management and remediation services",306,309,311,326,330,328,330,341,351,364,367,351,361,373,381,389,400,406,419,428,435
