"Table 6.17C. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"","","","","","","","","","","","","","","",""
"1","            Corporate profits before tax",330791,388356,389404,404051,429317,462561,505945,601704,685251,738740,796887,728077,765864,746571
"2","Domestic industries",282781,331372,322273,327964,352846,389470,429014,523738,592304,636770,689332,625316,644144,600908
"3","    Agriculture, forestry, and fishing",1858,1810,1691,1651,1144,2018,1967,1597,2087,3189,3228,3068,4619,4563
"4","        Farms",868,975,1237,1087,718,1298,1276,630,762,1586,1817,552,1492,1411
"5","        Agricultural services, forestry, and fishing",990,835,453,564,426,720,692,967,1325,1603,1411,2516,3127,3152
"6","    Mining",-1775,784,992,2446,1120,2036,1489,3556,4814,8633,11791,1635,2532,11148
"7","        Metal mining",-548,578,8,65,-41,1,-399,624,531,-843,-323,-926,-1209,-1224
"8","        Coal mining",346,776,764,515,304,338,-81,456,232,561,214,-115,-54,-187
"9","        Oil and gas extraction",-2566,-1550,-532,1315,425,1191,1767,1614,3081,8034,10655,582,4777,12204
"10","        Nonmetallic minerals, except fuels",993,980,751,551,432,506,203,862,970,882,1245,2094,-981,355
"11","    Construction",8600,7840,7106,4207,4241,2547,6401,10277,14141,17638,18112,24660,28948,34313
"12","    Manufacturing",109314,144110,128569,125240,103484,109022,122213,167730,206209,215029,241619,212678,219480,215834
"13","        Durable goods",54559,67545,60250,46742,36991,45190,58004,87098,98317,105321,126092,116170,107424,95028
"14","            Lumber and wood products",4978,4246,4244,2417,1569,3287,4486,4853,6013,3311,3356,3949,5904,3181
"15","            Furniture and fixtures",1774,1388,1106,930,1026,1545,2022,2054,2293,3282,3546,3388,3617,2957
"16","            Stone, clay, and glass products",3206,1965,1558,1493,327,1288,1450,3615,4664,4198,6900,6571,7652,6092
"17","            Primary metal industries",3283,6488,5099,2250,-418,-2552,-1352,1885,7009,4064,4706,3810,488,-159
"18","            Fabricated metal products",5978,7302,6470,5745,4751,5578,7029,11269,12669,14374,17068,16165,15737,15607
"19","            Industrial machinery and equipment",5903,12338,13631,11818,5492,6002,4495,7143,14753,16039,18486,21582,13409,18800
"20","            Electronic and other electric equipment",10790,13173,13187,11698,12314,12436,16245,24962,27399,29019,39181,24141,22753,23525
"21","            Motor vehicles and equipment",5691,7119,4650,-1081,-1894,5555,13286,20601,10671,11959,10758,15954,12743,2469
"22","            Other transportation equipment",9371,8054,5575,5259,6881,5125,4220,2940,3522,7210,8369,8593,13919,11528
"23","            Instruments and related products",2462,4007,3485,4825,5496,5359,4317,5547,6596,9600,10081,8110,6640,7324
"24","            Miscellaneous manufacturing industries",1124,1465,1246,1389,1448,1566,1806,2230,2729,2266,3642,3908,4561,3703
"25","        Nondurable goods",54755,76564,68319,78498,66492,63832,64209,80632,107892,109709,115527,96508,112056,120807
"26","            Food and kindred products",11389,10981,10584,13409,17729,17820,16689,20021,28820,22940,24784,20967,27541,26107
"27","            Tobacco products",1722,4963,2535,3511,2099,2248,1563,1529,1977,2076,2141,1312,4309,1776
"28","            Textile mill products",2244,1606,1261,1158,1418,3113,2687,2488,1986,2245,2340,2461,1962,971
"29","            Apparel and other textile products",1883,1785,1994,1776,2222,2954,2851,3000,2613,2551,2548,2221,1659,2157
"30","            Paper and allied products",6395,9520,8919,6924,4565,3414,3805,6142,13894,9400,6166,5251,7748,9735
"31","            Printing and publishing",9930,9600,9441,8715,9758,11714,11605,14138,12076,16370,16802,17822,20918,17451
"32","            Chemicals and allied products",18360,23630,22399,21673,20768,20623,20846,28376,35168,32866,38542,35011,35158,29356
"33","            Petroleum and coal products",32,11838,8336,18835,5228,-1275,938,821,7037,16025,16425,5663,7191,30502
"34","            Rubber and miscellaneous plastics products",2236,2055,2307,1892,2006,2620,2863,4050,3810,4969,5348,5366,5235,2431
"35","            Leather and leather products",564,587,542,605,699,600,360,67,513,267,432,435,336,321
"36","    Transportation and public utilities",43494,46233,43084,45093,53268,57617,69875,83932,89068,91879,80738,72222,49706,34414
"37","        Transportation",2294,3247,-1834,-4345,-2627,-3189,2871,7073,8614,9495,9452,9444,3234,5504
"38","            Railroad transportation",1107,1740,-230,840,880,1039,1195,2981,3183,3029,1505,827,215,2228
"39","            Local and interurban passenger transit",42,44,189,-47,310,290,207,303,413,545,454,449,148,413
"40","            Trucking and warehousing",690,-223,-554,-747,1030,1424,2940,3322,2351,1283,463,3191,1956,3378
"41","            Water transportation",-93,309,404,389,510,56,334,287,333,380,656,439,-74,489
"42","            Transportation by air",-151,925,-2385,-5258,-6432,-6911,-3125,-1101,1267,3474,7175,5337,3606,316
"43","            Pipelines, except natural gas",894,815,777,756,714,671,702,673,786,800,779,952,426,-50
"44","            Transportation services",-196,-363,-35,-278,362,242,618,610,281,-18,-1580,-1750,-3043,-1271
"45","        Communications",22336,22363,21515,25646,29118,33439,38335,41437,39353,41011,30623,25441,7533,497
"46","            Telephone and telegraph",21067,21058,20777,23874,26605,28865,32546,34692,32767,36325,25859,21800,11320,-2941
"47","            Radio and television",1269,1305,738,1772,2513,4574,5789,6745,6586,4686,4764,3641,-3787,3438
"48","        Electric, gas, and sanitary services",18864,20623,23403,23792,26777,27366,28670,35422,41100,41374,40663,37337,38939,28413
"49","    Wholesale trade",22710,26698,25364,21489,22511,25837,28939,35253,34130,38850,44153,44053,47730,53963
"50","    Retail trade",25732,23949,24842,24193,28777,30667,41855,48866,47241,53930,60411,71662,74467,71038
"51","    Finance, insurance, and real estate",58990,65778,75056,84365,113217,128030,117738,125277,141836,150920,167261,144463,160676,157645
"52","        Depository institutions",53099,54781,63364,75013,89660,96213,87894,89314,103786,102255,103397,106799,124832,148889
"53","            Federal Reserve banks",16249,18078,20649,21821,20731,18296,16691,18514,22944,22548,24282,25600,26676,31230
"54","            Commercial and mutual depository institutions",36850,36703,42715,53191,68929,77918,71203,70800,80842,79707,79115,81199,98156,117659
"55","        Nondepository institutions",3352,4604,6815,8336,10648,14221,15567,15661,18798,20667,20462,20334,26517,26214
"56","        Security and commodity brokers",1246,-2083,-4377,-1643,-4865,-2494,266,-7789,-6093,-1073,11014,-488,-1030,-20896
"57","        Insurance carriers",308,10828,16210,8286,19917,27427,20189,35210,29659,32848,28806,19566,11988,6741
"58","        Insurance agents, brokers, and service",3069,2490,2558,2935,3019,3105,3278,4089,4478,4932,5466,6835,6949,8690
"59","        Real estate",-1313,-1124,-3235,-5253,-7215,-4383,-2178,-596,1552,3069,5034,5551,6085,7936
"60","        Holding and other investment offices",-770,-3718,-6279,-3308,2053,-6060,-7278,-10612,-10344,-11779,-6917,-14134,-14667,-19930
"61","    Services",13858,14170,15569,19281,25085,31696,38537,47249,52778,56702,62019,50875,55986,17988
"62","        Hotels and other lodging places",-668,-651,-1140,-1605,-1131,-398,676,1415,2142,2568,2691,1687,2886,3652
"63","        Personal services",849,964,1546,1373,1305,1696,1842,2324,2567,2329,2652,3407,2851,3918
"64","        Business services",4378,5871,6509,7655,8273,11555,12860,15338,17533,20646,25253,14943,11104,-31377
"65","        Auto repair, services, and parking",-84,-201,-473,-261,-308,-22,769,555,367,471,1239,1362,1058,878
"66","        Miscellaneous repair services",482,666,753,728,754,787,890,941,1016,1218,1130,908,991,1070
"67","        Motion pictures",-998,-578,-800,-1115,-1507,-77,80,-29,333,691,-92,-123,647,-294
"68","        Amusement and recreation services",145,386,1210,663,1006,2158,2032,2436,2252,2981,4100,1354,834,574
"69","        Other services",9754,7715,7963,11843,16694,15997,19388,24268,26568,25798,25046,27338,35615,39567
"70","            Health services",5595,4227,3760,5999,10232,9286,11430,14650,15123,14922,12672,11698,17297,21085
"71","            Legal services",1570,1017,1046,1134,1096,1728,1672,2203,2770,2760,3027,856,2360,4020
"72","            Educational services",212,397,328,523,713,592,561,767,1010,976,1199,1860,1951,1749
"73","            Other1",2377,2073,2828,4187,4652,4391,5726,6648,7664,7140,8148,12924,14008,12713
"74","Rest of the world2",48009,56985,67131,76087,76471,73090,76931,77966,92947,101970,107554,102761,121719,145664
"75","    Receipts from the rest of the world",58922,71580,75510,80918,75492,78328,88948,104525,127364,139358,155495,146786,176671,201580
"76","    Less: Payments to the rest of the world",10913,14595,8379,4831,-979,5238,12017,26559,34417,37388,47941,44025,54951,55917
"Legend / Footnotes:"
"1. Consists of social services; membership organizations; engineering and management services, except for commercial research and testing services and for management and public relations; and services, not elsewhere classified."
"2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding payments (line 76)."
"Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC)."
