indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,suministro_electricidad_gas_agua,construccion,sectores_productores_bienes,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,administracion_publica_defensa,ensenianza_servicios_sociales_salud,otras_actividades_servicios_soc_personales_domestico,sectores_productores_servicios,servicios_intermediacion_financiera_medidos_indirectamente,valor_agregado_bruto_precios_productor,impuesto_valor_agregado,impuesto_importaciones,producto_interno_bruto_precios_mercado
1993-01-01,10830.213199563159,374.3065388697721,3118.7904666594536,38175.870382407265,4345.067233254204,12481.97532256047,69326.22314331432,30666.74803625169,5608.159023802968,15116.449342381131,8463.129785749963,31778.760814706715,14567.176999785608,14820.942765933238,11789.166692134842,132810.53346074614,3035.32253528937,199101.4340687711,15366.955476555808,1901.721763442688,216370.11130876958
1993-04-01,13756.109200578501,529.838498645533,3412.2828532886833,44422.150958572056,4655.20442998497,13151.416970207913,79927.00291127765,35849.78943607051,5047.573653334694,15995.288597176186,8981.144330958756,34513.51674349551,14572.62927838483,19110.64187992756,12933.281091027193,147003.86501037524,3337.6535598859914,223593.21436176694,16016.931230533171,2261.712831809148,241871.85842410926
1993-07-01,10758.399287228543,392.57619772218203,3666.0676909919184,44980.04598385947,4914.09359405792,13760.712042040523,78471.89479590056,34537.22213591969,5396.701635262867,16383.312252068157,9600.193802581523,34922.46965620849,14564.65658885387,19406.00375116463,13177.049372840986,147987.60919490023,3459.8090455227252,222999.69494527805,16964.455731753234,2681.371691012306,242645.5223680436
1993-10-01,11603.038395145242,350.9190418112122,3911.711845534824,44975.12442595306,4481.771856297846,14177.627789191094,79500.19335393328,34396.2291658319,5674.728258371749,17040.351272573917,10151.68098031515,35312.13040198571,14543.846257625584,19382.450901081884,13306.972756367344,149808.38999415323,3811.3231416125514,225497.26020647396,16718.21719715778,2916.9514217358346,245132.4288253676
1994-01-01,11796.726691120995,363.8693185928694,3658.8303098910533,41193.46651888142,4753.8124553030175,13194.987679233078,74961.69297302244,33353.070470448256,6096.597136707233,16891.92355337422,10689.530915209243,33895.71130372126,14044.948857449686,15205.959482912247,12695.127747168253,142872.8694669904,4274.926691901995,213559.63574811086,16491.73657571224,2893.9534058057807,232945.32572962888
1994-04-01,14937.69372673976,471.35363480808445,3922.511270597167,45749.54552177745,5089.918635760176,14115.791072235563,84286.8138619182,38341.93997264414,5543.910528187299,17728.79014376127,10994.523757002455,36551.038767502236,14234.640582549242,19654.58845371594,13875.760269037297,156925.19247439987,4430.039722113957,236781.9666142041,17570.708299343787,3124.219729367326,257476.89464291523
1994-07-01,11731.123644622274,428.3344190877294,4074.842723404235,46684.473262861095,5422.345655553417,14359.911557853446,82701.03126338219,36437.90684519876,5746.449857670668,18075.834809615546,11144.540903462215,36683.0468306073,14239.927115849434,19750.61862894342,13688.36048616643,155766.6854775138,4682.871026190286,233784.8457147057,16577.82595191243,3105.106388326384,253467.77805494453
1994-10-01,12145.668906979792,351.74051648136793,4392.8531666541885,46689.97198021543,5123.323844887971,14984.93450647318,83688.49292169193,36045.575821913066,6189.370743490386,18474.46224254437,11930.993592241339,38329.04884609178,14251.783295542897,19786.9727996403,13705.896469305362,158714.1038107695,4907.172034768381,237495.42469769303,16694.695601051146,3151.4234190279462,257341.54371777212
1995-01-01,13333.071531883359,359.26945426912044,4225.580693674647,41082.01531681855,5268.381293665894,13318.8724850391,77587.19077535067,33153.518582723205,6321.425988350572,18071.532320126673,10974.962205018574,35019.828954056524,14047.915320985701,15738.273586789965,12727.056937668596,146054.5138957198,4587.522757436824,219054.18191363366,16138.873916656068,2775.047272588644,237968.10310287838
1995-04-01,17050.526318455522,507.74896430430107,4773.309102959598,41678.41569134121,5472.5230317796195,12206.22540785162,81688.74851669188,34318.776378904,5305.36938754471,17987.959260432737,10796.59078574147,35690.630537248406,14141.067907118178,20230.22997603234,13432.68768355485,151903.3119165767,4458.918543582919,229133.14188968565,16435.262022989562,2525.2353674051974,248093.63928008042
1995-07-01,11657.45297319304,374.18753369494203,4928.2270913504235,42237.93159956945,5735.112860676815,12038.675891177123,76971.58794966179,32402.51434271659,5442.041442680093,17930.226455558415,10697.377648956004,36403.81573299523,14153.961580564946,20344.512958283834,13750.07568103246,151124.52584278758,4295.285402709344,223800.82838974,15891.660202491066,2522.2105217943526,242214.69911402542
1995-10-01,11479.023968598112,402.90576950849214,4752.884073399657,42400.0942911012,5428.636531399353,12200.613654256333,76664.15828826315,32391.206241361146,5881.18976950238,18404.084773374987,11676.33585581469,37216.45736637877,14131.731875620688,20047.337091451405,13537.249157688613,153285.59213119265,4807.789508205631,225141.96091125018,16598.889032311712,2727.114637295465,244467.96458085734
1996-01-01,12327.914513533098,374.5973519390922,4735.806511719852,39962.512130446776,5465.46698640997,12150.481925077725,75016.77941912651,31916.742797497056,6478.781603067708,18174.968054301604,11846.918916420307,35279.71860852048,14107.671336224812,16155.940589763268,12548.444435683004,146509.18634147823,4993.396592596475,216532.56916800825,17469.175052977487,2564.2923628975686,236566.0365838833
