"Table 1.9.5. Net Value Added by Sector"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Net domestic product",94148,81943,67877,51184,49142,58370,65761,76029,83236,77310,83334,92322,117247,151041,185054,203106,204901,201844,220496,243143,240191,266433,309189,326735,345730,344569,376586,395226,415120,418775,456210,474481,491606,529822,559433,602070,654281,718103,756401,827294,892719,936464,1015925,1118099,1246690,1338349,1446394,1613186,1791994,2024403,2253451,2428876,2719810,2806826,3071413,3439219,3698842,3894335,4124830,4451942,4803321,5074612,5225736,5560080,5855061,6231627,6517369,6897816,7338228,7753080,8231729,8741122,8982312,9278443,9739165,10391902,11065613,11690485,12199053,12354003,12077456,12601126,13068115,13621012,14103632,14712232,15308317,15723466,16397980,17288776
"2","Business1",81788,69834,56394,40838,39337,47856,54716,63431,70691,63956,69836,78286,100496,126443,148940,159531,157534,167215,190392,211600,205388,228546,261938,273264,289166,285579,313740,328058,342898,340701,373596,385099,396053,427107,449816,484391,527740,577690,602523,657345,706318,731664,790330,872240,982295,1052357,1131832,1275551,1428743,1626113,1818896,1944303,2178567,2210295,2427676,2741984,2946583,3087522,3256254,3504580,3777468,3959542,4033913,4292283,4522170,4832444,5053731,5376452,5745225,6072393,6447713,6841226,6965331,7132382,7482073,8023870,8590123,9101741,9499726,9478741,9085704,9548412,9959954,10458462,10868846,11384161,11851196,12157178,12717771,13454030
"3","    Nonfarm2",73575,63593,51393,37481,35781,44239,48813,58127,63632,58629,64746,73055,92875,114879,135144,145822,143281,150362,172552,191043,189616,211852,242610,254983,273094,270045,299169,313819,328905,324681,359421,370034,380832,411862,434582,470440,511407,560748,586594,641321,688258,713040,770397,848436,941887,1015601,1095156,1242520,1396406,1587906,1773071,1909297,2131630,2168968,2401686,2696465,2901037,3045483,3211646,3460484,3721111,3899708,3981794,4230673,4469176,4767606,5004885,5304083,5678179,6015395,6399390,6787989,6910387,7081900,7415260,7930172,8513147,9034373,9414134,9390949,9015222,9463845,9842401,10346616,10724480,11260431,11752350,12075950,12626723,13374548
"4","    Farm",8213,6241,5002,3357,3555,3617,5904,5304,7059,5326,5090,5230,7621,11563,13795,13709,14252,16853,17840,20557,15772,16694,19328,18281,16072,15534,14570,14239,13994,16020,14175,15065,15220,15245,15235,13952,16333,16943,15929,16024,18060,18624,19933,23803,40408,36756,36676,33030,32338,38207,45825,35005,46937,41326,25990,45519,45547,42039,44609,44096,56357,59833,52119,61610,52994,64838,48846,72369,67046,56998,48323,53237,54943,50482,66813,93698,76976,67368,85592,87793,70482,84566,117553,111846,144366,123730,98846,81228,91049,79482
"5","Households and institutions",7776,7303,6564,5680,4928,4756,4858,5043,5358,5404,5550,5747,6062,6848,7555,8417,9147,9572,10356,11381,12485,13950,15564,17414,19545,21423,23604,25578,27867,30515,33310,36856,39303,42672,45587,48487,51948,56052,60494,65357,71810,78127,86313,93694,101307,110153,120740,130554,140255,155488,171973,195956,223148,250930,276468,302907,325633,353554,387700,431057,469020,512514,548166,585591,628776,671247,714901,752633,796038,848540,904243,964970,1020413,1080587,1124479,1176213,1227114,1284379,1324509,1429817,1498011,1508808,1554616,1606367,1637219,1691449,1770504,1840137,1908438,1995543
"6","    Households",6474,5972,5274,4484,3830,3652,3732,3858,4120,4120,4250,4378,4616,5260,5765,6439,7030,7055,7404,7969,8722,9868,11089,12554,14191,15620,17266,18686,20287,22134,24111,26370,28137,30370,32225,33916,35896,38001,40340,42548,45499,48741,53456,57423,61019,65343,70801,76186,80854,89199,97634,110916,126778,142748,156105,169784,182884,197171,211788,232293,251187,272754,288532,305407,328549,355677,382235,403321,427061,453756,485065,519108,554581,578306,595124,620339,653787,684671,700088,764150,801063,800053,818604,836778,847408,871340,906963,940365,978895,1024910
"7","    Nonprofit institutions serving households3",1302,1330,1290,1196,1098,1104,1126,1185,1239,1283,1301,1369,1446,1589,1790,1978,2117,2517,2952,3412,3763,4083,4476,4860,5355,5803,6339,6892,7580,8380,9199,10486,11165,12302,13363,14571,16052,18051,20154,22809,26310,29386,32857,36270,40288,44810,49939,54367,59402,66289,74339,85040,96370,108182,120363,133123,142749,156383,175911,198764,217833,239760,259634,280183,300227,315570,332666,349312,368977,394784,419178,445861,465832,502281,529355,555875,573327,599708,624421,665667,696948,708755,736012,769589,789811,820110,863542,899772,929543,970633
"8","General government4",4584,4807,4919,4666,4877,5758,6186,7554,7186,7951,7948,8290,10689,17750,28558,35158,38220,25057,19748,20162,22318,23937,31686,36056,37018,37567,39242,41590,44354,47559,49304,52526,56250,60043,64029,69191,74593,84361,93385,104592,114592,126673,139282,152166,163088,175839,193822,207082,222995,242802,262582,288617,318095,345601,367270,394328,426625,453260,480876,516305,556833,602557,643657,682206,704114,727936,748736,768731,796964,832147,879774,934926,996568,1065473,1132613,1191819,1248376,1304365,1374818,1445445,1493742,1543907,1553545,1556182,1597567,1636622,1686617,1726151,1771771,1839203
"9","    Federal",1053,1096,1101,1042,1316,1853,1956,3779,3201,3694,3628,3858,6154,13130,23739,30040,32635,18593,12060,11240,12436,13383,20160,23406,23255,22464,22937,23466,24267,25339,25750,26622,27743,29484,30800,32980,34775,39798,43843,48255,51433,55172,58823,62622,64575,67770,72534,76454,80865,87134,91950,100753,112226,121999,127711,136539,144952,149078,153075,161933,168460,176011,186490,189572,188049,186072,183342,182168,183459,185847,191683,202447,211183,236331,267708,284269,303468,314522,329066,349555,375833,402794,411615,409055,399805,404166,411196,422506,432894,451633
