"Table 6.8B. Persons Engaged in Production by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Persons engaged in production1",58240,56833,58523,62236,63310,64087,62111,63137,64284,64545,62530,64002,64886,64656,66043,66629,67860,70159,73342,75180,76974,78917,78322,77988,79908,83350,84669,82882,85207,88175,92630,95718,95880,96737,94744,95564,100039,102308,104024,106967
"2","Domestic industries",58233,56848,58527,62291,63378,64165,62238,63275,64426,64678,62658,64136,65029,64781,66134,66701,67923,70180,73357,75195,76990,78939,78342,78007,79929,83374,84690,82907,85232,88198,92658,95740,95904,96799,94808,95634,100112,102380,104091,107033
"3","    Private industries",51489,49641,51095,53024,53335,54152,52383,53530,54586,54643,52581,53793,54408,53798,54743,55102,55984,57864,60064,61189,62534,64223,63651,63348,65252,68488,69532,67443,69690,72528,76649,79595,79616,80634,78638,79581,83849,85760,87135,89797
"4","        Agriculture, forestry, and fishing",6625,6440,6402,6022,5879,5696,5713,5525,5251,5010,4848,4704,4531,4442,4310,4079,3862,3713,3432,3338,3303,3193,3118,3065,3116,3181,3255,3191,3210,3105,3158,3183,3275,3260,3140,3166,3074,2889,2869,2932
"5","            Farms",6350,6171,6127,5735,5580,5402,5420,5237,4962,4724,4567,4426,4243,4144,4001,3762,3532,3366,3077,2973,2929,2810,2733,2672,2694,2716,2773,2723,2704,2580,2536,2507,2574,2532,2436,2439,2313,2077,2001,1968
"6","            Agricultural services, forestry, and fishing",275,269,275,287,299,294,293,288,289,286,281,278,288,298,309,317,330,347,355,365,374,383,385,393,422,465,482,468,506,525,622,676,701,728,704,727,761,812,868,964
"7","        Mining",1028,956,957,972,949,908,833,835,873,869,775,742,721,685,666,647,642,644,640,624,618,626,629,617,625,641,701,755,791,831,879,951,1040,1154,1142,968,983,934,791,734
"8","            Metal mining",105,98,100,107,108,112,106,109,116,117,95,86,98,92,87,83,83,87,90,82,84,92,96,90,87,90,97,94,94,93,83,90,89,94,75,60,58,48,44,47
"9","            Coal mining",544,485,479,451,407,352,277,259,270,264,223,197,183,163,155,150,147,144,140,140,134,135,145,147,160,160,178,213,226,238,233,254,250,235,238,192,197,187,174,161
