"Table 6.17A. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948"
"","","","","","","","","","","","","","","","","","","","","",""
"1","        Corporate profits before tax",10911,4559,562,-1346,1832,3215,4371,7107,7629,4603,7778,10636,18762,22476,25846,24786,20393,25563,32636,36502
"2","Domestic industries",10679,4422,566,-1312,1834,3155,4212,7003,7357,4302,7454,10370,18371,22098,25474,24363,20051,24872,31650,35241
"3","    Agriculture, forestry, and fisheries",11,-37,-67,-65,-26,-26,11,21,8,-9,6,19,55,82,108,100,94,146,157,163
"4","        Farms",2,-44,-68,-64,-29,-29,8,16,4,-10,4,18,50,71,102,94,89,140,152,159
"5","        Agricultural services, forestry, and fisheries",9,7,1,-1,3,3,3,5,4,1,2,1,5,11,6,6,5,6,5,4
"6","    Mining",472,126,-129,-74,-23,168,177,322,514,280,346,483,647,598,523,508,411,465,989,1517
"7","        Metal mining",253,43,-32,-45,20,58,81,136,242,122,180,239,268,293,177,129,104,79,215,282
"8","        Anthracite mining",10,13,7,-12,-7,0,-11,-5,-13,-12,-13,6,15,18,17,22,11,34,35,444
"9","        Bituminous and other soft coal mining1",16,-7,-21,-26,-21,19,8,12,16,-13,13,45,79,107,140,145,113,122,327,"---"
"10","        Crude petroleum and natural gas",133,32,-96,12,-17,78,80,144,228,162,130,153,221,111,134,162,132,143,299,653
"11","        Nonmetallic mining and quarrying",60,45,13,-3,2,13,19,35,41,21,36,40,64,69,55,50,51,86,113,138
"12","    Contract construction",148,118,18,-68,-31,9,31,71,66,38,47,85,205,329,246,127,96,229,400,684
"13","    Manufacturing",5060,1816,-164,-1151,935,1495,2246,3693,3857,1712,3834,5740,11287,12837,14477,13594,10275,12423,17776,19513
"14","        Durable goods",2609,696,-530,-1309,-175,346,906,1740,2077,536,1722,3205,6839,7486,8160,7447,4723,3901,8052,9455
"15","            Lumber and basic timber products",112,-7,-83,-85,3,-5,16,57,79,6,40,96,200,214,189,171,114,280,536,576
"16","            Furniture and finished lumber products2",38,-39,-60,-77,-19,-8,7,35,31,16,56,76,153,145,141,160,134,240,285,"---"
"17","            Stone, clay, and glass products",160,67,-11,-69,7,52,82,163,156,73,163,209,361,350,293,233,214,379,468,555
"18","            Iron and steel and their products, including ordnance",861,287,-141,-302,-27,118,199,398,534,27,325,649,1642,2066,2138,1818,1205,1079,1965,1859
"19","            Nonferrous metals and their products3",218,54,-10,-47,60,116,140,188,198,49,155,224,395,374,487,431,264,402,604,"---"
"20","            Machinery, except electrical",498,184,-59,-201,-32,118,198,358,456,218,346,696,1454,1648,1495,1310,872,760,1550,1727
"21","            Electric and electronic equipment",118,-17,-106,-186,-166,-150,-38,45,101,14,111,282,663,681,819,825,501,200,851,903
"22","            Motor vehicles and equipment",465,164,46,-190,64,104,254,399,379,73,347,558,928,406,366,339,208,208,1348,1751
"23","            Other transportation equipment 3",45,4,-49,-49,-39,-21,-22,9,53,12,91,303,809,1346,1918,1862,965,-7,27,"---"
"24","            Miscellaneous manufacturing, including instruments and miscellaneous plastic products4",95,-1,-58,-103,-27,22,70,88,90,47,88,113,234,257,314,299,247,359,418,"---"
"25","        Nondurable goods",2451,1120,367,158,1111,1149,1340,1953,1780,1176,2111,2535,4449,5351,6317,6147,5552,8522,9724,10059
"26","            Food and kindred products",472,374,201,94,366,428,416,542,364,372,563,577,907,1266,1517,1520,1432,2045,1864,1618
