"Table 6.17B. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Corporate profits before tax",36502,30042,43781,45380,41282,43149,40793,51441,52625,51194,45030,55954,53853,53904,59204,64416,71446,83110,90384,87604,97906,96652,86263,99271,115885,146131,161527,154773,196214,228493,270410,301142,282758,276625,232327,263887,298240,289649,266194,330791
"2","Domestic industries",35241,28917,42512,43636,39394,41351,38831,49087,49804,48102,42507,53236,50716,50588,55432,60335,66977,78404,85856,82829,92270,90057,79163,91416,106351,131233,144058,140142,179666,209380,247541,266531,247287,246946,199740,228831,261672,251551,226720,282781
"3","    Agriculture, forestry, and fishing",163,125,177,155,72,47,79,53,55,48,73,41,73,91,148,106,136,231,249,130,230,233,80,221,508,943,514,849,770,673,1310,1303,681,386,78,-101,209,-94,1542,1858
"4","        Farms",159,121,175,149,65,40,73,46,49,42,48,-6,22,30,60,35,75,161,162,71,141,129,2,98,311,778,318,699,503,412,974,906,442,114,-55,-180,-57,-299,924,868
"5","        Agricultural services, forestry, and fishing",4,4,2,6,7,7,6,7,6,6,25,47,51,61,88,71,61,70,87,59,89,105,78,123,196,165,196,150,268,261,336,397,239,272,132,79,266,205,618,990
"6","    Mining",1517,1036,1502,1460,1188,1028,1137,1442,1526,1297,1004,746,863,967,787,1085,1109,945,961,739,843,777,1101,1018,859,1829,4351,4299,4271,3619,2718,4293,6789,2912,-2128,-3554,-2244,-5535,-5300,-1775
"7","        Metal mining",282,139,297,309,188,239,233,369,387,229,162,15,130,185,108,177,217,181,279,-65,80,101,200,-2,-8,333,425,45,207,-2,-45,356,286,45,-591,-358,-389,-888,-696,-548
"8","        Coal mining",444,166,247,201,131,90,48,120,216,194,138,86,91,124,92,146,196,187,181,171,166,131,453,291,212,365,1983,1797,1290,833,438,502,592,744,494,278,344,-37,271,346
"9","        Oil and gas extraction",653,601,789,765,702,534,666,718,693,700,568,502,463,507,431,505,394,344,258,367,349,269,248,463,391,668,1379,1982,2281,2239,1506,2473,4900,1405,-2372,-3788,-2870,-5136,-5507,-2566
