"Table 6.17D. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","",""
"1","            Corporate profits before tax",728077,765864,746571,689043,788547,970121,1257705,1665189,1844161,1751944,1379308,1467491,1834014,1818230,2156103,2151523,2264473,2136944,2117433,2132964,2063481
"2","Domestic industries",625316,644144,600908,520236,631770,811198,1062574,1439474,1604442,1414168,989115,1118728,1448224,1405680,1750739,1752681,1859595,1734411,1705553,1678886,1561831
"3","    Agriculture, forestry, fishing, and hunting",548,1850,1364,1162,419,2438,3697,5199,4720,6571,2820,4077,7989,7412,12644,12105,14113,11995,7565,7819,4080
"4","        Farms1",-115,886,645,698,-375,1311,2579,3538,2858,4422,1543,2441,5423,4921,8869,8750,10956,8884,4394,"---","---"
"5","        Forestry, fishing, and related activities",663,965,719,465,794,1127,1118,1661,1861,2149,1278,1635,2566,2490,3776,3355,3157,3111,3171,"---","---"
"6","    Mining",4906,6051,15261,15507,5510,16823,25220,44803,59501,58689,56559,19402,32926,33956,36533,44586,43027,-9239,-25265,-4737,19526
"7","        Oil and gas extraction",2296,6152,13984,12992,6731,16511,21660,32455,35145,34456,33709,11873,15611,10530,14431,27226,28948,-4479,-18020,"---","---"
"8","        Mining, except oil and gas",1376,1849,1411,623,643,1237,3125,9272,14036,11889,12495,8523,14446,17713,13792,8710,3521,-1737,1494,"---","---"
"9","        Support activities for mining",1234,-1950,-134,1892,-1864,-925,435,3076,10320,12344,10355,-994,2869,5713,8310,8650,10559,-3024,-8738,"---","---"
"10","    Utilities",33199,34579,24728,22068,10671,13297,21559,33238,54244,49843,30641,23232,30574,10355,13668,28880,32776,19256,9502,11665,-3745
"11","    Construction",26277,30612,36348,41794,36627,35719,54442,82510,82956,61330,38176,25498,26892,30289,44149,41640,56069,76483,93596,100060,109411
"12","    Manufacturing",185773,184688,185553,72361,74941,131411,207949,300021,369703,338524,258748,159223,299254,326509,403153,438310,457621,393374,332686,344208,309899
"13","        Durable goods",108874,96684,86301,-11490,3,32817,66777,118682,153136,123363,78106,29065,132281,145572,205001,223689,237177,224739,192178,184014,145831
"14","            Wood products",3967,5941,2970,1794,1623,2856,5430,5692,3151,861,-705,-1723,1485,663,3182,5904,4918,4391,5683,"---","---"
"15","            Nonmetallic mineral products",6500,7582,6034,3832,2961,3692,5669,9512,6550,5489,819,-1415,-835,1268,4019,7330,7834,7867,8281,"---","---"
"16","            Primary metals",4698,1406,724,-4012,-1514,-1688,11989,14395,20716,17990,17262,-2859,6142,12886,11907,8599,10070,4821,4797,"---","---"
"17","            Fabricated metal products",16694,16329,16164,8600,9492,9436,16097,19827,21422,22268,18900,9812,17036,18273,23930,23786,24536,22468,23640,"---","---"
"18","            Machinery",16169,12869,10009,2223,2319,3391,10467,17370,22500,24557,20741,8935,18858,28393,33670,35126,36389,22974,19047,"---","---"
"19","            Computer and electronic products",16200,5341,20054,-29901,-26737,-9352,1096,15288,29564,23115,27361,26615,49077,37998,52599,59151,60716,67971,50149,"---","---"
"20","            Electrical equipment, appliances, and components",8552,10283,7218,1076,-982,2781,1260,12,12971,-347,5376,8840,10863,5466,11821,19826,14170,23183,5205,"---","---"
"21","            Motor vehicles, bodies and trailers, and parts",17083,13592,4479,-6939,-3189,7937,-3325,1546,-6334,-15792,-39174,-55644,-10298,666,23192,21305,31952,26648,28481,"---","---"
"22","            Other transportation equipment",5955,10796,7840,5216,7100,5601,6561,19401,23170,30193,18476,20465,19348,20749,19048,23608,28343,32423,29620,"---","---"
"23","            Furniture and related products",3505,3725,3081,1556,2231,2138,2289,4154,4917,3285,1367,1079,2083,2181,2837,3329,3968,4783,5072,"---","---"
"24","            Miscellaneous manufacturing",9552,8820,7728,5066,6698,6024,9246,11486,14510,11743,7682,14961,18522,17029,18796,15725,14281,7210,12204,"---","---"
"25","        Nondurable goods",76899,88004,99251,83851,74938,98594,141172,181338,216568,215162,180642,130158,166973,180938,198152,214621,220444,168635,140508,160194,164069
"26","            Food and beverage and tobacco products",21539,31760,26772,29227,26747,27994,27804,29372,35803,36731,32424,44140,48499,44911,47158,54491,60080,65222,67506,"---","---"
"27","            Textile mills and textile product mills",2534,2043,1042,-645,-72,295,616,811,1205,1054,599,608,1401,1274,1780,2190,1977,2350,2579,"---","---"
"28","            Apparel and leather and allied products",2921,2029,2706,2076,4793,2725,3434,3971,3747,2945,1492,2187,2762,3060,2621,3543,2197,2207,1944,"---","---"
"29","            Paper products",3114,5364,7121,-401,981,447,5457,6916,11880,8648,1798,5412,7852,6676,8762,10415,11072,11550,12277,"---","---"
"30","            Printing and related support activities",5026,4998,4305,3058,3081,3151,3767,5388,5830,5102,2951,2319,4575,3910,4878,4108,4630,4929,5273,"---","---"
"31","            Petroleum and coal products",2752,3559,27160,26907,6305,27455,51998,84438,81392,82217,83160,15248,28022,53731,55895,52841,57908,6701,-29362,"---","---"
"32","            Chemical products",32904,32194,26959,22216,30507,33802,42645,44359,71519,71905,56582,54483,65800,58550,63533,74420,73551,61259,65008,"---","---"
"33","            Plastics and rubber products",6109,6057,3187,1413,2594,2727,5451,6083,5192,6559,1636,5762,8062,8826,13524,12613,9029,14416,15282,"---","---"
"34","    Wholesale trade",50901,56301,62865,48230,51773,61055,82328,102867,115612,117724,99195,89157,117292,118390,143312,138173,146138,135953,125929,137130,122055
"35","        Durable goods",30837,33910,38275,24686,25639,27689,45003,60233,67097,64757,49596,36340,56228,63307,78025,75353,80889,72231,66393,"---","---"
"36","        Nondurable goods",20064,22391,24590,23544,26134,33366,37324,42634,48515,52967,49599,52816,61064,55082,65287,62821,65249,63722,59536,"---","---"
"37","    Retail trade",61731,61693,53494,69570,79448,89750,99501,127856,136177,126640,87844,110703,125524,126892,160512,154392,160647,167231,170560,160923,139386
"38","    Transportation and warehousing",12599,7667,9767,-968,-6206,4417,12363,28933,40771,24255,27493,22627,45011,31068,54326,45175,54680,59751,64212,59055,44901
"39","        Air transportation",4372,2730,-434,-11941,-16894,-8350,-8504,-6161,2514,-1151,-2757,492,10759,6257,7260,6505,12431,16773,21408,"---","---"
"40","        Rail transportation",568,195,1989,1146,1357,1379,2609,7305,10192,10071,9443,5472,8761,7526,12103,14621,15798,13093,10837,"---","---"
"41","        Water transportation",245,-196,403,589,218,305,508,1253,1770,1184,1729,159,716,-141,535,1034,858,770,479,"---","---"
"42","        Truck transportation",3190,2328,3046,2764,1673,4139,6921,10910,10035,6120,6717,4931,9244,6203,12469,2420,6939,11676,13098,"---","---"
"43","        Transit and ground passenger transportation",683,415,614,690,870,674,797,854,909,653,421,952,1526,1253,1369,1288,1594,1330,679,"---","---"
"44","        Pipeline transportation",1008,549,-33,841,888,697,990,1041,885,1298,1456,1714,1183,-4708,1986,1575,1487,279,1719,"---","---"
"45","        Other transportation and support activities2",1845,863,3543,4398,5011,5122,8339,12444,12957,4885,9367,7477,11244,13353,16756,16381,14402,14946,14817,"---","---"
"46","        Warehousing and storage",688,782,638,546,671,452,702,1286,1508,1194,1115,1430,1577,1324,1848,1352,1170,884,1176,"---","---"
"47","    Information",32917,20428,-12059,-26638,4159,27544,61255,100772,115503,120882,99528,87099,102316,95739,112104,137799,126817,135954,157541,141203,122251
"48","        Publishing industries (includes software)",11019,16214,2136,2384,20136,24171,28892,35392,28615,25552,22892,21383,28682,31143,31447,29833,25720,19535,20011,"---","---"
"49","        Motion picture and sound recording industries",1052,1691,835,3507,7823,7307,10924,6114,8406,15865,10305,9818,17165,18520,18735,19436,15635,17862,21085,"---","---"
"50","        Broadcasting and telecommunications",23393,6825,241,-20478,-24461,-5241,13559,52848,66767,71389,56797,48602,49015,39596,59586,82631,77179,88556,96161,"---","---"
"51","        Information and data processing services",-2548,-4303,-15270,-12051,661,1307,7880,6418,11715,8075,9534,7296,7454,6480,2337,5898,8281,10001,20285,"---","---"
"52","    Finance and insurance",74364,74038,46389,96164,153305,186477,208443,248153,250716,165734,-44639,214348,219672,206740,311683,287712,334862,290385,303387,291788,278686
"53","        Federal Reserve banks",25600,26676,31230,28878,23483,20047,20010,26534,33815,35977,35062,47324,71562,75963,71721,79661,103473,100739,91952,"---","---"
"54","        Credit intermediation and related activities",39292,44659,45039,68217,89016,86414,77828,87207,72046,56546,40106,86860,73912,103681,129688,137567,120738,103250,115477,"---","---"
"55","        Securities, commodity contracts, and investments",-1437,-1620,-23668,-5857,5561,12156,17433,25168,28303,-15421,-98180,31944,20773,4488,30955,27457,25856,30655,32720,"---","---"
"56","        Insurance carriers and related activities",26567,19816,15482,8458,23492,53222,85671,98637,105404,84510,-12752,49977,58323,35422,87159,81562,105508,101188,98580,"---","---"
"57","        Funds, trusts, and other financial vehicles",-15658,-15494,-21695,-3532,11753,14638,7501,10607,11148,4122,-8875,-1757,-4899,-12814,-7840,-38534,-20714,-45446,-35341,"---","---"
"58","    Real estate and rental and leasing",10087,9626,8998,7048,8519,9248,12359,27745,23401,18351,6186,7444,13536,2843,21570,23424,21695,20466,24087,19492,10517
"59","        Real estate",6174,7310,8120,5169,7271,8653,13204,19211,13019,8654,2502,2504,7857,6630,9641,10615,9766,9934,12833,"---","---"
"60","        Rental and leasing services and lessors of intangible assets3",3914,2315,878,1879,1249,595,-845,8534,10382,9696,3684,4940,5679,-3787,11929,12810,11929,10532,11254,"---","---"
"61","    Professional, scientific, and technical services",28083,27691,8882,12332,26925,35488,42959,50856,60657,61950,67833,71419,82202,78770,85705,80721,77081,74558,75061,69464,62001
"62","        Legal services",2712,4128,5945,8503,9147,9001,9672,12302,11699,11531,13777,15141,15416,16401,18323,17214,18144,20263,23433,"---","---"
"63","        Computer systems design and related services",7076,3610,-13059,-9956,1353,6252,8451,7955,10468,11322,12491,16442,14431,13175,13512,12507,7361,4081,5620,"---","---"
"64","        Miscellaneous professional, scientific, and technical services4",18295,19953,15996,13785,16425,20234,24836,30598,38490,39096,41565,39835,52355,49195,53871,51000,51576,50214,46009,"---","---"
"65","    Management of companies and enterprises5",64548,80553,103320,98821,112038,116285,137581,161392,162409,134456,139218,148324,186146,171653,170687,143006,148223,157726,153413,121694,126291
"66","    Administrative and waste management services",8198,8985,8551,10157,10347,13952,15692,23765,20625,26126,23424,22914,28345,28006,31009,29525,34250,33763,36731,39678,37498
"67","        Administrative and support services",6389,7533,7274,8594,8211,10765,12763,19259,19542,19917,18659,16424,20308,21894,24480,23274,27046,26758,29266,"---","---"
"68","        Waste management and remediation services",1808,1452,1277,1562,2136,3186,2929,4507,1084,6209,4765,6489,8037,6112,6529,6250,7204,7005,7465,"---","---"
"69","    Educational services",1926,1996,2020,1718,2250,3029,4282,5184,5261,5218,5901,9581,11386,9466,8584,7894,5820,5049,5327,4924,5460
"70","    Health care and social assistance",13108,18938,22703,29064,38761,41614,43895,54232,57933,57449,61101,73060,78007,78596,84736,82751,82014,86103,95515,99103,103369
"71","        Ambulatory health care services",10205,14022,16284,22363,27946,29324,30790,36878,39799,38887,42269,50535,52073,51644,53579,56405,55950,57597,65804,"---","---"
"72","        Hospitals and nursing and residential care facilities",1957,3357,3303,2634,6191,7309,7936,10481,10743,8668,9758,11774,13476,15611,19818,15591,15555,17136,18236,"---","---"
"73","        Social assistance",946,1558,3116,4066,4624,4980,5169,6874,7391,9894,9074,10752,12459,11341,11339,10754,10508,11370,11475,"---","---"
"74","    Arts, entertainment, and recreation",2904,2976,2514,3241,4000,4301,5980,8055,8049,7819,7317,7490,8103,10317,11724,9673,11129,11234,14053,14899,15430
"75","        Performing arts, spectator sports, museums, and related activities",1200,1372,1127,1579,1873,2458,3332,3997,4642,5300,4900,4681,4297,6203,6780,6025,7415,7035,8945,"---","---"
"76","        Amusements, gambling, and recreation industries",1704,1604,1387,1662,2127,1843,2647,4058,3407,2519,2417,2809,3806,4114,4943,3648,3714,4199,5108,"---","---"
