"Table 6.3. Historical-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",148.1,157.6,166.1,174.2,181.8,185.6,185.5,182.4,179.0,177.0,176.3,177.5,180.7,182.1,184.9,189.4,196.1,198.1,198.4,200.7,206.0,222.9,248.9,280.1,306.7,340.6,374.7,408.1,444.2,479.6,521.4,566.0,610.1,647.6,692.9,737.8,780.9,829.1,881.1,939.7,1007.4,1080.1,1150.2,1230.1,1320.6,1408.1,1509.7,1633.8,1780.9,1927.7,2067.4,2237.2,2459.1,2739.5,3065.8,3381.3,3735.1,4052.0,4389.8,4810.3,5249.2,5683.1,6110.8,6558.3,7018.9,7458.6,7831.1,8217.5,8671.3,9183.5,9754.1,10390.7,11084.5,11853.0,12691.3,13597.8,14404.9,15108.7,15868.2,16767.1,17829.9,19013.8,20120.4,21021.3,21458.9,21923.2,22519.0,23282.2,24150.1,25165.1,26204.1,27214.3,28282.5,29512.0
"","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","  Corporate",70.5,73.6,76.3,79.1,82.6,84.5,84.2,82.4,80.6,79.5,78.9,79.3,81.0,81.2,81.8,83.5,86.4,87.6,87.9,89.5,93.3,100.7,111.2,122.7,131.6,141.5,154.4,168.0,183.1,196.4,211.4,231.4,252.7,267.7,284.6,303.8,321.5,341.0,361.0,385.1,416.7,455.4,492.6,533.5,579.6,623.8,667.7,719.9,785.9,863.6,937.5,1021.4,1127.0,1263.4,1430.3,1609.0,1815.8,2008.8,2183.9,2405.3,2634.8,2835.1,3015.5,3207.7,3421.5,3650.3,3845.1,4034.5,4253.6,4500.3,4802.5,5138.8,5507.8,5900.9,6323.9,6788.3,7146.0,7368.8,7587.3,7850.1,8201.3,8659.3,9178.4,9671.3,9880.1,10145.8,10530.0,11018.6,11520.9,12115.2,12675.8,13155.8,13672.3,14295.9
"3","    Financial",2.2,2.3,2.4,2.6,2.7,2.9,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.9,2.8,2.7,2.7,2.6,2.9,3.1,3.4,3.7,4.0,4.4,4.8,5.4,5.9,6.7,7.6,8.4,9.0,9.8,10.7,11.6,12.6,13.6,15.1,16.8,18.5,20.4,23.2,26.0,28.6,31.8,35.1,40.1,46.7,53.6,60.8,68.4,79.2,93.3,110.5,130.7,152.1,174.9,204.3,237.6,273.1,307.2,344.1,385.6,421.5,446.8,469.6,495.5,525.2,553.0,587.6,623.9,675.7,731.0,779.6,813.4,839.5,859.1,892.9,926.4,963.0,1013.7,1042.4,1037.5,1038.3,1050.8,1080.0,1111.8,1150.4,1201.0,1256.6,1306.5,1363.7
"4","    Nonfinancial",68.2,71.3,73.9,76.5,79.8,81.7,81.4,79.6,77.8,76.8,76.2,76.7,78.3,78.6,79.2,80.8,83.5,84.7,85.1,86.9,90.7,97.9,108.0,119.3,127.9,137.5,150.0,163.2,177.7,190.5,204.7,223.9,244.3,258.7,274.8,293.1,310.0,328.4,347.5,370.1,399.9,436.8,472.2,510.4,553.6,595.3,635.9,684.8,745.8,816.8,883.9,960.6,1058.5,1184.1,1337.0,1498.5,1685.1,1856.6,2008.9,2201.0,2397.1,2562.0,2708.3,2863.7,3035.9,3228.8,3398.3,3564.9,3758.1,3975.2,4249.5,4551.2,4884.0,5225.2,5593.0,6008.7,6332.6,6529.3,6728.2,6957.2,7274.9,7696.3,8164.6,8628.9,8842.6,9107.6,9479.3,9938.6,10409.0,10964.9,11474.8,11899.2,12365.8,12932.2
"5","  Noncorporate",77.6,84.0,89.8,95.1,99.2,101.0,101.3,100.0,98.4,97.5,97.4,98.2,99.7,100.9,103.0,105.9,109.7,110.5,110.5,111.1,112.7,122.2,137.8,157.4,175.1,199.1,220.3,240.1,261.1,283.1,310.0,334.5,357.4,379.9,408.3,434.0,459.4,488.1,520.0,554.6,590.7,624.7,657.6,696.5,741.0,784.3,842.0,913.9,995.0,1064.2,1129.9,1215.8,1332.1,1476.1,1635.5,1772.3,1919.3,2043.2,2205.9,2405.1,2614.4,2848.0,3095.3,3350.6,3597.4,3808.4,3985.9,4183.0,4417.6,4683.2,4951.6,5252.0,5576.6,5952.1,6367.4,6809.5,7258.8,7739.8,8280.9,8917.0,9628.7,10354.5,10942.0,11350.0,11578.8,11777.3,11989.0,12263.7,12629.2,13049.8,13528.3,14058.5,14610.2,15216.0
"6","    Sole proprietorships",18.6,20.3,22.0,23.4,24.6,24.8,24.5,23.8,23.0,22.5,22.3,22.4,22.8,22.9,23.3,23.7,24.4,24.3,24.1,24.2,24.8,26.7,30.0,34.0,37.5,41.4,44.5,46.9,49.6,52.0,55.1,57.8,60.5,63.9,66.6,69.2,71.7,74.8,78.2,81.9,86.2,91.3,95.6,104.0,115.3,126.5,140.2,158.2,176.8,196.3,209.0,221.9,239.0,263.6,295.7,323.7,356.3,380.8,406.0,437.0,469.2,502.8,533.4,563.7,592.9,613.7,627.9,640.4,660.8,685.5,717.3,749.7,785.8,821.2,857.2,891.8,921.0,948.8,979.8,1015.3,1055.0,1099.3,1139.9,1173.1,1185.0,1189.5,1198.6,1218.6,1250.7,1294.5,1336.7,1380.1,1424.5,1476.6
"7","    Partnerships",6.1,6.6,7.0,7.4,7.8,8.0,7.9,7.6,7.3,7.1,7.1,7.2,7.4,7.4,7.5,7.7,8.0,7.9,7.9,8.0,8.3,9.2,10.6,12.2,13.5,15.0,16.4,17.3,18.6,19.6,21.2,22.6,23.9,25.0,26.5,27.8,29.1,30.7,32.5,34.6,37.4,40.4,43.0,45.4,48.7,52.1,55.7,59.6,64.9,69.4,73.9,79.0,85.1,94.5,108.9,124.3,146.8,168.8,185.5,208.6,236.6,261.3,287.2,317.0,344.5,360.7,371.0,376.4,387.2,399.2,414.4,431.6,451.7,480.6,517.9,564.0,607.2,647.8,684.3,726.5,778.6,844.4,923.0,998.2,1035.7,1068.7,1104.7,1151.8,1206.9,1271.4,1330.6,1388.3,1452.2,1526.9
"8","    Nonprofit institutions",5.3,6.1,6.8,7.5,8.1,8.5,8.8,8.8,8.7,8.6,8.6,8.6,8.7,8.8,8.9,9.1,9.3,9.2,9.1,9.0,9.1,9.5,10.1,11.1,12.2,13.7,15.2,16.6,18.1,19.9,21.9,24.1,26.5,29.2,32.0,35.3,38.9,43.1,46.7,50.8,55.6,60.6,65.1,69.9,75.7,81.5,88.0,96.3,104.6,112.6,119.4,126.3,134.7,144.2,154.7,165.6,177.6,191.6,207.6,225.0,242.2,261.3,283.6,307.0,332.2,358.4,381.9,405.2,425.7,445.6,466.7,489.5,523.1,565.4,609.8,659.8,710.2,765.1,821.6,878.6,934.9,998.5,1069.3,1148.5,1216.8,1272.0,1332.7,1397.7,1460.1,1518.2,1583.7,1653.3,1717.2,1788.1
