Series ID,Year,Period,Label,Value
CES3000000001,1939,M01,1939 Jan,9077
CES3000000001,1939,M02,1939 Feb,9175
CES3000000001,1939,M03,1939 Mar,9275
CES3000000001,1939,M04,1939 Apr,9309
CES3000000001,1939,M05,1939 May,9299
CES3000000001,1939,M06,1939 Jun,9315
CES3000000001,1939,M07,1939 Jul,9231
CES3000000001,1939,M08,1939 Aug,9400
CES3000000001,1939,M09,1939 Sep,9604
CES3000000001,1939,M10,1939 Oct,9873
CES3000000001,1939,M11,1939 Nov,9896
CES3000000001,1939,M12,1939 Dec,9949
CES3000000001,1940,M01,1940 Jan,9927
CES3000000001,1940,M02,1940 Feb,9916
CES3000000001,1940,M03,1940 Mar,9884
CES3000000001,1940,M04,1940 Apr,9817
CES3000000001,1940,M05,1940 May,9810
CES3000000001,1940,M06,1940 Jun,9832
CES3000000001,1940,M07,1940 Jul,9766
CES3000000001,1940,M08,1940 Aug,10048
CES3000000001,1940,M09,1940 Sep,10258
CES3000000001,1940,M10,1940 Oct,10471
CES3000000001,1940,M11,1940 Nov,10643
CES3000000001,1940,M12,1940 Dec,10847
CES3000000001,1941,M01,1941 Jan,10993
CES3000000001,1941,M02,1941 Feb,11211
CES3000000001,1941,M03,1941 Mar,11409
CES3000000001,1941,M04,1941 Apr,11698
CES3000000001,1941,M05,1941 May,11957
CES3000000001,1941,M06,1941 Jun,12204
CES3000000001,1941,M07,1941 Jul,12382
CES3000000001,1941,M08,1941 Aug,12532
CES3000000001,1941,M09,1941 Sep,12683
CES3000000001,1941,M10,1941 Oct,12770
CES3000000001,1941,M11,1941 Nov,12810
CES3000000001,1941,M12,1941 Dec,12876
CES3000000001,1942,M01,1942 Jan,12965
CES3000000001,1942,M02,1942 Feb,13127
CES3000000001,1942,M03,1942 Mar,13311
CES3000000001,1942,M04,1942 Apr,13509
CES3000000001,1942,M05,1942 May,13704
CES3000000001,1942,M06,1942 Jun,13842
CES3000000001,1942,M07,1942 Jul,14072
CES3000000001,1942,M08,1942 Aug,14339
CES3000000001,1942,M09,1942 Sep,14582
CES3000000001,1942,M10,1942 Oct,14772
CES3000000001,1942,M11,1942 Nov,14971
CES3000000001,1942,M12,1942 Dec,15288
CES3000000001,1943,M01,1943 Jan,15532
CES3000000001,1943,M02,1943 Feb,15685
CES3000000001,1943,M03,1943 Mar,15856
CES3000000001,1943,M04,1943 Apr,15961
CES3000000001,1943,M05,1943 May,16044
CES3000000001,1943,M06,1943 Jun,16204
CES3000000001,1943,M07,1943 Jul,16306
