"Table 6.1. Current-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",223.4,231.6,236.9,248.6,251.7,239.4,205.4,187.6,196.5,198.6,199.5,220.4,231.7,232.0,235.6,254.4,282.8,302.3,317.1,329.3,353.0,434.0,516.6,562.2,581.1,655.8,713.9,751.9,783.3,815.2,888.8,958.5,1008.9,1034.0,1078.1,1111.0,1147.6,1190.4,1228.7,1314.0,1402.9,1522.1,1636.6,1804.7,1962.9,2121.0,2352.7,2594.0,2946.9,3468.3,3786.4,4168.9,4735.7,5412.9,6264.5,7118.0,7860.3,8297.0,8599.6,9112.5,9619.0,10230.6,10843.5,11560.9,12230.0,12802.8,13090.9,13643.6,14358.0,15242.3,15993.5,16812.9,17752.7,18828.3,20085.2,21482.6,22772.5,23906.8,25270.5,27811.3,30662.1,32986.8,34154.6,34981.3,34101.1,34582.2,35557.7,36693.1,38699.6,40485.0,41605.7,43475.0,45443.4,47831.7
"","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","  Corporate",100.1,103.1,104.6,106.9,106.0,101.0,90.7,84.7,85.5,86.8,86.3,94.9,98.4,97.2,97.9,104.1,116.9,124.3,125.3,126.7,138.2,167.1,199.2,218.0,222.1,249.1,270.5,286.5,301.4,310.9,342.2,380.3,408.6,417.5,435.2,445.4,457.8,473.5,490.0,517.9,554.8,604.7,657.5,724.5,799.7,880.0,963.2,1045.2,1179.1,1440.1,1596.3,1753.5,1950.3,2214.3,2554.5,2935.0,3322.8,3544.0,3662.1,3891.6,4116.2,4316.5,4552.0,4869.5,5166.0,5466.7,5613.6,5816.9,6100.3,6449.5,6831.0,7192.2,7616.7,8047.9,8538.6,9143.4,9585.7,9889.6,10188.8,11032.0,12007.9,12973.0,13691.7,14565.8,14146.6,14531.0,15225.4,15762.7,16409.2,17185.9,17535.0,17991.9,18790.9,19691.9
"3","    Financial",3.1,3.3,3.3,3.4,3.5,3.5,3.0,2.7,2.9,2.9,3.0,3.1,3.4,3.4,3.2,3.7,4.4,4.3,4.4,4.4,4.4,5.6,6.7,7.2,6.7,7.4,8.6,9.0,9.2,9.2,10.3,11.9,12.7,13.1,13.7,14.3,15.2,16.3,17.3,19.1,21.0,23.3,25.8,29.7,34.0,38.2,43.6,49.1,57.1,71.4,80.7,90.7,103.3,120.6,145.3,173.9,203.2,229.8,252.9,285.3,322.1,365.3,406.3,452.8,502.9,548.0,570.8,597.3,631.9,675.7,709.5,745.9,789.8,854.0,925.9,992.1,1034.7,1069.1,1097.8,1194.2,1290.4,1383.2,1456.1,1532.3,1467.8,1460.3,1500.6,1533.1,1579.6,1627.4,1679.5,1736.8,1805.5,1898.9
"4","    Nonfinancial",97.0,99.8,101.3,103.5,102.5,97.5,87.8,82.1,82.6,83.8,83.4,91.8,95.0,93.9,94.7,100.4,112.5,120.0,120.9,122.4,133.9,161.5,192.5,210.8,215.4,241.7,261.8,277.5,292.2,301.7,331.9,368.4,395.9,404.4,421.5,431.1,442.6,457.3,472.7,498.8,533.8,581.5,631.7,694.8,765.7,841.8,919.6,996.1,1122.0,1368.7,1515.7,1662.7,1847.0,2093.8,2409.3,2761.0,3119.5,3314.2,3409.1,3606.3,3794.1,3951.2,4145.7,4416.6,4663.1,4918.8,5042.9,5219.5,5468.4,5773.8,6121.5,6446.3,6826.9,7193.8,7612.7,8151.3,8551.1,8820.6,9091.0,9837.8,10717.6,11589.9,12235.6,13033.5,12678.8,13070.7,13724.8,14229.6,14829.6,15558.6,15855.5,16255.1,16985.4,17793.0
"5","  Noncorporate",123.2,128.5,132.3,141.6,145.7,138.4,114.7,102.8,110.9,111.8,113.2,125.5,133.3,134.7,137.7,150.3,165.9,178.1,191.8,202.6,214.8,266.9,317.4,344.1,359.0,406.7,443.5,465.4,481.9,504.4,546.6,578.2,600.3,616.5,642.9,665.6,689.8,716.9,738.8,796.0,848.1,917.4,979.1,1080.2,1163.3,1241.1,1389.5,1548.8,1767.8,2028.2,2190.1,2415.4,2785.4,3198.5,3709.9,4183.0,4537.5,4752.9,4937.5,5220.9,5502.8,5914.1,6291.4,6691.4,7063.9,7336.0,7477.3,7826.8,8257.6,8792.8,9162.5,9620.7,10136.0,10780.5,11546.7,12339.2,13186.8,14017.1,15081.7,16779.3,18654.1,20013.8,20462.9,20415.5,19954.5,20051.2,20332.3,20930.5,22290.4,23299.1,24070.7,25483.0,26652.5,28139.8
"6","    Sole proprietorships",26.3,27.9,29.2,31.1,31.9,30.1,25.4,22.6,23.9,23.9,24.0,26.1,27.7,27.7,27.7,29.9,33.5,35.8,38.3,39.7,42.4,52.1,62.2,67.7,69.5,78.2,84.2,86.7,88.1,89.3,95.3,100.1,103.3,104.8,106.9,108.2,110.2,113.0,115.3,121.7,127.9,137.0,144.8,160.5,177.3,194.3,220.1,248.9,286.8,339.6,367.1,398.1,451.5,510.8,590.1,667.0,740.8,786.9,812.4,852.5,895.6,952.1,994.2,1040.7,1074.2,1102.2,1113.2,1139.6,1170.6,1214.6,1258.0,1307.9,1375.2,1451.0,1514.7,1583.0,1645.5,1706.8,1769.1,1911.8,2084.1,2220.9,2290.0,2335.6,2277.7,2268.8,2280.5,2328.1,2407.4,2519.4,2638.4,2733.1,2861.4,2999.2
"7","    Partnerships",7.9,8.4,8.7,9.1,9.2,8.7,7.6,6.8,7.1,7.2,7.2,7.8,8.3,8.3,8.2,8.8,10.1,10.7,11.2,11.4,12.4,15.5,19.0,21.0,21.1,24.3,26.6,27.4,28.1,28.4,31.1,33.8,35.3,35.7,37.0,37.6,38.7,40.3,42.0,44.8,48.2,52.5,56.3,61.1,67.0,73.3,80.7,87.6,98.0,116.3,124.8,134.3,148.2,167.6,196.5,228.4,267.6,292.0,304.2,330.4,360.7,389.5,421.4,461.8,498.8,523.3,529.8,539.0,558.4,583.9,607.1,630.0,661.2,702.2,752.1,814.2,869.7,919.4,965.5,1066.0,1186.0,1308.9,1407.5,1515.1,1475.5,1507.0,1570.2,1624.9,1705.3,1791.5,1842.4,1909.0,2007.5,2122.6
"8","    Nonprofit institutions",8.1,8.8,9.3,10.1,10.4,10.0,8.5,7.7,8.2,8.3,8.5,9.7,10.2,10.3,10.5,11.3,12.5,13.4,14.1,14.3,15.4,20.1,24.0,25.1,25.2,28.9,31.8,33.3,33.9,35.2,39.0,42.6,45.1,46.3,48.7,51.1,54.8,59.2,62.9,68.8,75.1,82.8,89.6,99.9,110.6,122.1,138.3,155.2,175.5,205.9,218.9,235.3,261.8,292.6,333.2,374.5,407.1,433.0,454.4,481.0,504.9,537.6,571.2,607.6,643.7,677.0,696.4,728.1,762.2,804.8,834.0,867.5,919.9,986.0,1056.7,1135.1,1210.0,1281.3,1359.7,1498.8,1651.3,1801.8,1905.5,2014.4,1982.6,2020.4,2102.9,2179.6,2300.4,2389.6,2471.3,2560.6,2680.7,2832.5
