"Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Fixed assets and consumer durable goods",297.5,307.6,315.5,328.2,333.6,318.6,277.7,250.8,264.1,273.8,275.0,304.4,320.7,323.3,329.7,355.0,405.4,469.9,528.3,566.1,608.9,701.5,807.6,863.1,876.8,979.6,1077.4,1140.0,1186.5,1238.7,1345.3,1460.7,1538.0,1587.7,1651.4,1706.0,1768.6,1847.5,1922.4,2045.1,2182.2,2369.4,2557.3,2813.4,3073.9,3345.2,3672.5,4031.3,4564.8,5413.5,5855.1,6382.9,7120.5,8056.2,9256.4,10503.7,11551.4,12186.2,12643.9,13409.7,14135.9,15070.3,15995.2,17053.4,18046.4,18924.6,19422.4,20227.4,21239.6,22491.0,23571.3,24674.6,25937.1,27359.2,29092.1,31025.3,32740.8,34331.6,36145.9,39685.8,43481.1,46894.5,48983.4,50584.6,49751.4,50634.9,52335.0,53943.4,56422.4,58583.2,60044.6,62451.4,65109.1,68408.7
"2","  Fixed assets",261.7,270.5,277.2,289.2,294.4,281.7,245.5,222.3,236.3,246.0,247.3,275.1,289.9,292.7,298.2,320.5,365.5,424.9,478.7,513.4,554.9,639.7,734.2,780.0,785.1,872.1,957.4,1013.0,1051.3,1100.0,1197.2,1301.6,1369.5,1415.1,1471.2,1520.5,1580.2,1652.8,1717.5,1829.7,1954.3,2119.9,2285.4,2511.4,2744.0,2990.8,3294.5,3621.8,4110.6,4887.7,5277.3,5747.3,6415.5,7261.1,8360.7,9512.5,10490.4,11083.9,11468.9,12140.1,12759.0,13548.2,14342.5,15253.0,16120.6,16885.5,17305.0,18034.2,18937.5,20066.8,21042.0,22046.6,23219.0,24525.4,26101.0,27823.6,29376.5,30805.4,32468.3,35787.7,39374.9,42596.0,44509.5,46019.3,45191.4,46099.4,47690.3,49215.9,51642.8,53723.9,55038.6,57296.1,59806.5,62889.4
"3","    Private",223.4,231.6,236.9,248.6,251.7,239.4,205.4,187.6,196.5,198.6,199.5,220.4,231.7,232.0,235.6,254.4,282.8,302.3,317.1,329.3,353.0,434.0,516.6,562.2,581.1,655.8,713.9,751.9,783.3,815.2,888.8,958.5,1008.9,1034.0,1078.1,1111.0,1147.6,1190.4,1228.7,1314.0,1402.9,1522.1,1636.6,1804.7,1962.9,2121.0,2352.7,2594.0,2946.9,3468.3,3786.4,4168.9,4735.7,5412.9,6264.5,7118.0,7860.3,8297.0,8599.6,9112.5,9619.0,10230.6,10843.5,11560.9,12230.0,12802.8,13090.9,13643.6,14358.0,15242.3,15993.5,16812.9,17752.7,18828.3,20085.2,21482.6,22772.5,23906.8,25270.5,27811.3,30662.1,32986.8,34154.6,34981.3,34101.1,34582.2,35557.7,36693.1,38699.6,40485.0,41605.7,43475.0,45443.4,47831.7
"4","      Nonresidential",127.0,131.5,134.2,137.8,137.1,130.2,116.2,107.6,109.3,110.6,110.3,121.4,126.5,125.2,125.5,133.6,151.0,160.5,163.3,165.2,180.2,221.0,265.7,291.6,296.7,335.9,366.2,386.3,403.7,414.9,457.0,505.5,540.6,551.3,573.9,586.9,604.3,626.8,650.6,689.3,738.8,804.3,871.2,957.9,1055.8,1161.7,1275.1,1385.7,1560.5,1893.8,2083.8,2280.1,2532.5,2870.3,3313.9,3800.4,4300.0,4588.9,4744.7,5041.0,5332.4,5603.6,5919.1,6335.9,6726.7,7100.5,7274.6,7521.7,7874.3,8312.5,8765.6,9197.5,9723.7,10279.7,10907.6,11672.4,12255.5,12684.4,13109.5,14227.1,15511.7,16793.6,17747.4,18885.6,18343.1,18799.2,19665.1,20340.8,21205.3,22176.0,22645.7,23255.4,24283.5,25474.7
"5","        Equipment",31.1,32.8,33.5,34.2,34.3,32.7,29.7,26.7,26.4,26.5,25.9,27.8,29.9,29.9,30.5,32.8,37.6,38.5,38.9,38.8,44.2,53.3,65.5,80.3,84.6,98.8,109.1,114.9,124.4,128.2,141.2,158.6,172.9,178.0,186.6,192.7,196.1,203.7,212.3,224.9,242.5,270.0,296.2,326.5,360.1,394.8,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018.0,1181.9,1369.9,1528.5,1619.9,1670.5,1758.8,1858.0,1964.7,2055.3,2178.1,2300.6,2423.7,2482.2,2544.3,2642.4,2784.9,2959.2,3104.1,3235.2,3384.7,3578.7,3805.2,3913.4,3959.3,4000.4,4225.9,4423.0,4729.2,4952.1,5200.2,5120.2,5224.0,5459.7,5699.6,5897.2,6138.8,6304.7,6452.1,6690.7,7007.7
"6","        Structures",94.0,96.7,98.5,101.3,100.3,95.0,84.0,78.6,80.5,81.6,81.6,90.4,93.1,91.6,91.0,96.5,108.2,115.9,117.6,119.0,127.9,158.6,189.6,199.9,200.4,224.2,243.6,256.8,263.1,269.1,296.3,324.9,343.3,346.9,358.4,363.0,374.6,387.2,399.5,422.5,450.6,483.7,518.7,568.5,625.2,689.4,770.1,841.9,955.0,1156.4,1246.2,1354.7,1495.1,1689.2,1945.2,2216.6,2526.7,2694.9,2770.2,2943.8,3101.8,3232.5,3415.1,3641.8,3858.7,4055.4,4116.7,4251.0,4458.5,4696.8,4913.2,5136.2,5445.7,5759.2,6063.8,6468.4,6880.7,7212.5,7514.3,8334.0,9311.4,10180.9,10772.1,11557.2,11029.7,11286.3,11799.6,12126.7,12641.7,13245.0,13448.3,13739.8,14322.5,15023.6
"7","        Intellectual property products",1.9,2.0,2.1,2.3,2.5,2.5,2.5,2.4,2.4,2.6,2.8,3.1,3.4,3.7,4.0,4.3,5.1,6.0,6.8,7.5,8.1,9.1,10.6,11.3,11.7,12.8,13.6,14.6,16.2,17.7,19.6,22.1,24.4,26.4,29.0,31.1,33.7,35.9,38.9,41.9,45.8,50.5,56.3,62.8,70.5,77.5,82.5,88.7,98.4,111.9,121.5,132.9,145.8,163.2,186.8,213.8,244.9,274.1,304.1,338.5,372.6,406.4,448.7,516.1,567.4,621.4,675.6,726.4,773.4,830.7,893.2,957.2,1042.8,1135.8,1265.0,1398.7,1461.4,1512.5,1594.9,1667.2,1777.3,1883.6,2023.2,2128.2,2193.2,2288.9,2405.8,2514.4,2666.5,2792.1,2892.7,3063.4,3270.3,3443.4
"8","      Residential",96.4,100.0,102.7,110.8,114.6,109.2,89.2,79.9,87.2,87.9,89.2,99.1,105.2,106.8,110.1,120.8,131.9,141.8,153.8,164.1,172.8,213.0,250.9,270.6,284.4,319.9,347.7,365.6,379.5,400.3,431.7,452.9,468.3,482.6,504.1,524.1,543.3,563.6,578.1,624.6,664.0,717.8,765.3,846.9,907.1,959.3,1077.6,1208.2,1386.4,1574.5,1702.6,1888.7,2203.2,2542.5,2950.5,3317.6,3560.2,3708.0,3854.8,4071.5,4286.6,4627.0,4924.4,5224.9,5503.2,5702.3,5816.3,6121.9,6483.7,6929.8,7228.0,7615.4,8029.0,8548.6,9177.6,9810.2,10517.0,11222.4,12161.0,13584.3,15150.4,16193.2,16407.2,16095.7,15758.0,15783.0,15892.7,16352.4,17494.3,18309.0,18960.0,20219.6,21160.0,22357.0
"9","    Government",38.3,38.9,40.3,40.7,42.7,42.3,40.0,34.7,39.8,47.4,47.7,54.7,58.1,60.7,62.6,66.1,82.7,122.5,161.6,184.0,201.9,205.7,217.6,217.9,204.0,216.3,243.5,261.1,268.1,284.8,308.4,343.1,360.6,381.1,393.1,409.6,432.6,462.4,488.8,515.7,551.5,597.8,648.8,706.6,781.1,869.8,941.9,1027.9,1163.7,1419.4,1490.9,1578.5,1679.7,1848.2,2096.2,2394.5,2630.1,2787.0,2869.3,3027.5,3140.0,3317.6,3499.0,3692.1,3890.7,4082.8,4214.1,4390.6,4579.6,4824.5,5048.5,5233.7,5466.3,5697.1,6015.7,6341.0,6604.0,6898.7,7197.7,7976.3,8712.8,9609.2,10354.9,11038.0,11090.2,11517.2,12132.5,12522.8,12943.2,13238.9,13432.9,13821.1,14363.0,15057.7
