indice_tiempo,valor_agregado_bruto_precios_basicos,agricultura_ganaderia_caza_silvicultura_total,agricultura_ganaderia_caza_servicios_conexos,cria_animales,servicios_agricolas_pecuarios_excepto_veterinarios,caza_repoblacion_animales_serv_conexos,construcciones_agropecuarias,silvicultura_madera_servicios_conexos,pesca,explotacion_minas_canteras_total,extraccion_carbon_lignito_turba_petroleo_gas_natural,extraccion_minerales_metaliferos,industria_manufacturera_total,elaboracion_productos_alimenticios_bebidas,elaboracion_productos_tabaco,fabricacion_productos_textiles,fabricacion_prendas_vestir_terminacion_tenido_pieles,curtido_termin_cueros_fab_art_marroquineria_talab,produccion_madera_fabr_prod_madera_corcho_art_paja,fabricacion_papel_productos_papel,edicion_impresion_reproduccion_grabaciones,fab_coque_refinacion_petroleo_combustible_nuclear,fabricacion_sustancias_productos_quimicos,fabricacion_productos_caucho_plastico,fabricacion_productos_minerales_no_metalicos,fabricacion_metales_comunes,fabricacion_productos_elaborados_metal,fabricacion_maquinarias_equipo_ncp,fabricacion_maquinaria_oficina_contabilidad_informatica,fabricacion_maquinarias_aparatos_electronicos_ncp,fab_equipos_aparatos_radio_television_comunicaciones,fab_instrumentos_medicos_opticos_de_precision_relojes,fabricacion_vehiculos_automotores_remolques_semirremolques,fabricacion_equipos_transporte_ncp,fabricacion_muebles_colchones_industrias_manufactureras_ncp,reciclamiento,reparacion_mantenimiento_instalacion_maquinas_equipos,electricidad_gas_agua_total,generacion_captacion_distribucion_energia_electrica,fabricacion_gas_distribucion_combustibles_gaseosos,captacion_depuracion_distribucion_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes_total,hoteles_campamentos,restaurantes_bares_cantinas,transporte_almacenamiento_comunicaciones_total,transporte,comunicaciones,intermediacion_financiera_total,intermediacion_financiera_otros_servicios_financieros,servicios_seguros,servicios_auxiliares_actividad_financiera,actividades_inmobiliarias_empresariales_alquiler_total,servicios_inmobiliarios_bienes_propios_arrendados,resto_servicios_inmobiliarios,administracion_publica_defensa,ensenianza_total,ensenianza_publica,ensenianza_privada,servicios_sociales_salud_total,salud_publica,salud_privada,otras_act_ser_comunitarias_soc_personales_ser_domesticos,eliminacion_desperdicios_aguas_residuale_saneamiento,asociaciones,servicios_culturales_deportivos,hogares_privados_servicio_domestico
2004-01-01,390786.93270853726,31507.3269866133,21617.114368436134,6803.961518945493,1739.2872745719292,0.13948652127260014,596.8652980792936,749.9590399283453,1341.8732847186607,24027.489533785898,21247.895085364522,2779.594448421385,86448.0221689374,21769.029626224237,960.4351142681988,2183.6318345071045,3475.9321983108402,1719.6856823051928,1897.0154805744205,3158.5052563081035,3049.8691657837785,3760.9213757282387,11255.040421773288,4374.696393886814,3149.6684531707165,8053.338759014942,4529.313044063661,3507.4670815611817,292.5984108470288,1440.6599451698298,226.62090568536362,580.6840724086013,2992.7698931636514,441.87419014225526,2851.9704325684925,105.52642373467496,670.7680077367809,8603.24552019097,5376.974104023315,1926.9871247088424,1299.2842914588136,14801.185459514658,58565.3159739285,7234.787298106475,2173.091703831594,5061.695594275285,28143.40724444478,18256.087252142377,9887.319992302402,15012.872756416493,9954.010670694475,3659.865957666926,1398.9961280550913,50450.33445787902,26593.853331470036,23856.481126408995,21071.474914248072,16380.347905298948,12467.473955914946,3912.873949384,12435.382071201026,4177.568319925425,8257.813751275604,11844.979805739427,1374.841390546411,3702.019768958323,6768.118646234695,2918.8873275135065
2004-04-01,439742.5848851072,65745.37114103443,55180.4926867104,4014.6970176432246,4610.085719213888,182.0251147895335,999.4902954196436,758.5803072262065,2140.6402065278817,24441.46370778426,21514.863208351086,2926.6004994331797,91700.16904467173,22692.983575934028,653.9223664549463,3076.892978918168,3738.6025169218638,1888.6496754270606,2112.1470520563958,3054.463223710145,3107.5497528403725,3733.541582431725,11570.539526164932,4307.397401388388,3199.564632441915,8475.706629264205,4882.088049232507,3950.8904712333438,355.61818272955395,1742.269235586268,287.83735270129694,803.1032976270525,3764.2891580645746,480.87219800493244,2918.019728002725,115.081185562673,788.1392719726713,8742.80766059148,5443.396993870756,2109.2568006430406,1190.153866077681,14555.301099634913,60894.07094977155,6353.045379963939,1201.8044968889967,5151.240883074583,30478.544812228134,20184.62859637366,10293.916215854475,14558.300556858689,9519.894397928847,3637.021910225973,1401.3842487038642,52928.42803268237,26725.164072081345,26203.26396060103,21445.432585416682,17003.853733085965,12748.15432528954,4255.699407796422,13606.637986989359,4249.97918527,9356.65880171936,12086.240277184266,1398.5758602784354,3709.4905615260477,6978.173855379784,3062.277710681242
2004-07-01,406578.93921333045,28753.566747384153,8604.622306527706,16633.82829068606,1473.8653613765546,142.0847517423323,990.6892829615867,908.4767539426009,1177.3668319832943,24618.477684840924,21623.08370342842,2995.393981412506,93728.82575051162,22888.411612242955,449.6867195898908,2829.1783636277173,3749.7094080546312,1861.2948090885468,2434.2184596746465,3176.4262374557816,3291.63224186814,3942.8687025440886,11985.97772987349,4684.777329805457,3479.39958543155,7924.934156322856,4765.2188812586755,4566.342145195249,351.2678035465773,1811.3552152341454,356.9124504896722,737.9173514005406,3875.6825500909313,524.654339504438,3066.268334966717,118.63463511324339,856.0566881316681,8906.931528112696,5439.971722338916,2282.822124354099,1184.137681419681,15289.959686194012,60102.61577120757,6872.978024725694,1711.6070362575854,5161.370988468135,29585.843525224813,18793.91341091216,10791.930114312649,15130.093408255307,9957.862625437478,3717.6772031112564,1454.5535797065663,54046.68078818389,26812.36931953266,27234.31146865124,21755.43240444498,17267.575984017505,12949.682153484406,4317.893830533099,13687.034253752425,4303.598053953593,9383.436199798834,12625.696734481797,1406.4726473608828,3734.8150729639087,7484.409014157009,3029.860090009677
2004-10-01,412601.3807265955,30494.525577337638,10944.425991695061,14656.547051658514,3455.526289999561,0.2834244381974324,286.51915805854026,1151.223661797441,1110.1020858527816,24199.79235076712,21032.248686257946,3167.5436645091677,95588.30499616191,22547.351695093494,464.8151841316728,2673.70244875825,4150.460118010807,1921.565878174619,2354.6080298177417,3263.20698840884,3628.3906388017103,3883.4916161457513,11897.449953582322,4759.636995708358,3687.3044678295414,8818.017585229392,4758.587610294425,4815.622401398346,325.9791126002925,1806.6138824017023,403.7485606895899,838.860890398597,3894.4980466270104,677.5308711279872,3039.7149054282263,121.05364455047044,856.0934709527484,8556.63759828818,5314.227580199576,1965.9588264271658,1276.451191661435,14972.455312655342,60576.37907520795,7283.32628738934,1716.074399525999,5567.25188786327,30951.8049978737,19541.220031727236,11410.584966146474,15616.368240184474,10153.3743383503,3873.3401783469435,1589.65372348723,54912.019660075246,26925.170801513064,27986.84885856218,22067.878023467772,17577.81817495217,13212.868087283767,4364.950087668396,13076.35959649392,4382.209630462015,8694.149966031906,12457.239637634539,1465.907000707419,3764.8556298800545,7226.477007047065,3160.369112253366
2005-01-01,419640.8496004924,35665.06911029442,24527.00814739909,8281.002098779169,1690.8782783783167,0.12583479248545382,412.13461986877024,753.9201310765736,1305.3962469281391,23998.485412269623,20838.536414060334,3159.9489982092855,91736.47799773766,23225.81285675863,874.5294448367323,2720.883201681099,3999.4579474246157,1702.416800967868,1867.925810438362,3402.4735451868833,3197.735416601449,3806.4689495326593,11286.60426077379,4488.114941873197,3432.9746586939323,8440.312868149911,4993.6076787806305,3708.055653400061,285.86352389581623,1640.842068886201,264.13104025870945,713.7170893589822,3596.4055847758336,583.5534504775934,2699.999967626435,112.26709005779081,692.324147300464,9171.338179646216,5900.609269473051,1943.6460010517608,1327.082909121403,16323.794888297498,63579.08486538658,7905.875450121056,2339.74223525861,5566.133214862445,31820.861751131466,19896.858227172448,11924.00352395902,15750.693988780238,10171.858085722917,4150.6432975613525,1428.1926054959638,52631.11705398329,27051.869380720298,25579.24767326298,22224.735472672473,17479.472145984226,13281.921960020965,4197.550185963263,13825.7143544382,4469.689223276499,9356.0251311617,12940.939059702298,1424.4751644618314,3930.386594051686,7586.077301188783,3281.7936231191698
2005-04-01,498534.243797462,91464.02176641906,77454.22209851802,7020.215906194413,5198.362842571793,186.66028058693004,832.8595315890587,771.7011069588373,2051.7095828968663,24558.983720706583,21169.419944200636,3389.5637765059473,99507.4005604783,24891.32176610849,658.134904955756,3601.680458501486,4735.512983055245,1933.9950992339602,2013.9241525086964,3515.0691379313935,3488.4207061667657,3532.163827390924,11885.173170134789,4521.627992362222,3903.1774978171657,8532.522354996456,5083.857948066077,4491.347122656241,370.1491628851922,1861.7595469750688,363.61970785903037,966.3977464297109,4432.299284504017,685.1494579928022,3077.1658187926364,124.35759606930968,838.5731170848628,9210.44101694961,5873.942431224162,2106.7662203873692,1229.7323653380793,16485.835860866027,68153.38279051537,6995.167237105141,1278.9543166486033,5716.212920456538,35556.97518855344,23048.134692168398,12508.840496385048,16429.372068813587,11024.409506801649,3935.750058615724,1469.2125033962172,56091.413782253294,27198.894985927887,28892.518796325414,22590.237962239684,18023.061932767763,13469.607190214783,4553.454742552983,14923.170968466235,4524.004995555381,10399.165972910854,13241.573322425227,1469.7430441975798,3932.652170764188,7839.178107463462,3251.4960360059276
2005-07-01,437276.76489456213,28907.536316885165,10687.996061799153,15626.529758067114,756.6635909625338,141.67237595096668,790.6753419973152,903.9991881080831,827.9645291797311,24723.07694031871,21210.988816033736,3512.088124284978,100147.71693446944,24713.501776843168,419.37556774103376,3088.623330288369,4727.077429515585,1936.8059727159857,2085.0334190310427,3528.237990034738,3373.5599660127154,3824.7528739988625,12322.582570246832,4729.763542128892,4195.158979686602,8109.663273226105,4941.268002888441,4891.758951160808,386.3580244493232,1850.0560392147042,481.6234558568009,862.3045523247399,4768.747184100816,644.8426972167911,3263.4165033154336,126.74619846538408,876.4586340062755,9585.864633266845,6000.694555631188,2366.936987809986,1218.233089825672,16917.00798702518,66664.11220188576,8002.992437113693,1860.2878695545564,6142.704567559136,34399.091299560874,21016.086225236573,13383.005074324295,16751.991265111403,11071.796262509548,4049.5572928417,1630.6377097601594,56919.94137119615,27322.93072035459,29597.010650841567,22785.0411180016,18245.411600857173,13649.806251092643,4595.60534976453,15022.478366059471,4587.37888168816,10435.099484371312,14099.119995724162,1492.9635377877132,3993.6514510925117,8612.50500684394,3277.417897906947
2005-10-01,445761.4710450811,31395.873216081687,13241.582309509944,12869.289612445715,3877.902466381408,0.2552891280616469,291.5691949436963,1115.274343672871,1141.4127698321624,23704.850409652063,20088.28420067027,3616.5662089817947,103351.26259295641,24624.544121691357,464.51894168933717,2871.559818059004,5026.7184567753275,1949.1839478128354,2186.323198061617,3606.127812486777,4102.781804152389,3988.9504166351103,12034.910076667404,4897.213890227024,4308.082609284079,8781.142639755688,5616.781475942427,5329.395730896405,327.6052766300986,1910.3278799493648,598.7096173422505,1034.381867114845,4513.404724860937,651.9966725690288,3517.8184598365074,130.9490408815983,877.8341136349848,8971.229859380815,5641.028132247019,2020.0848821231834,1310.1168450106134,17326.340891361928,66758.31566193266,8200.002954940968,1848.821347458963,6351.181607482007,35193.8332855189,21075.453120300866,14118.380165218041,17319.477561233878,11390.0270863349,4282.83824151463,1646.6122333843446,58768.1395886301,27468.511852069805,31299.627736560284,23329.969236838497,18676.431171643886,14033.806850121548,4642.624321522338,14292.369220316512,4709.949927305319,9582.419293011197,13946.893432178242,1537.0700225733506,4077.556790848677,8332.266618756215,3385.0691925823025
2006-01-01,451523.5704714933,34290.22272928828,22957.974832209627,8254.692694281854,1459.5997826685361,0.10266129520553927,438.70481867321416,1179.1479401598513,2094.0123051742376,24711.16939013534,21024.65087378762,3686.5185163477136,99844.3485906839,25166.480285013913,899.3334500219167,2671.957550025183,4381.093842315589,1970.9472705007713,2082.872393127823,3700.520405762512,3548.560131556542,3871.353453244291,11660.077338944979,4811.633772730431,4244.17857305858,8466.086438799695,5584.141922652558,4502.9356134478285,268.2272462115146,1722.4696684963676,532.0705365906656,821.599710269511,4111.983903202892,733.4372401780465,3206.271421100612,121.84301193525746,764.2734114964162,9418.48009879397,6065.285494653726,1993.426847093158,1359.767757047086,18594.36147225261,70204.71290341315,8948.323789280403,2584.488592929611,6363.835196350794,36004.96294060429,21480.597132029812,14524.365808574468,17854.653010916376,11852.269769153192,4303.69435579562,1698.6888859675619,56565.24211120531,27714.973761298104,28850.2683499072,22961.668173582708,18079.458832613927,13626.784223854607,4452.674608759317,14127.902637787647,4578.853870194447,9549.048767593202,14305.192414585936,1492.4219861970669,4171.100016429831,8641.670411959038,3518.8590711751363
2006-04-01,525867.2174463087,85996.68871571272,73468.12489264664,5293.069123072729,5279.032679211003,170.95576579719003,845.7660859573751,939.7401690277854,3182.161513753399,25903.17808831301,22124.25326007855,3778.9248282344597,107920.81620504541,26694.816725422217,664.5810673338992,3640.5333115890994,4957.503141247112,2136.218818660625,2323.9717667062537,3768.224307491569,3751.8263978023583,3873.105763012258,12973.258598926193,4739.030965481153,4740.132380402286,8893.198602912234,5571.718003058793,5296.442813445241,276.18737244223746,1916.0481799244585,596.4485330568926,1009.615241027452,4956.710654995127,589.9549648933145,3540.794779032501,135.15786006442784,875.3359561177176,9674.179831071058,6145.945284340257,2251.684425948098,1276.5501207827017,18270.29439084015,73877.9746395367,8035.31080869396,1510.8416925997678,6524.46911609419,39413.153047417894,24328.94903063194,15084.204016785958,18172.989927402858,12433.778394910833,4199.973064157037,1539.2384683349915,59643.468461245255,27903.633689107337,31739.834772137903,23322.114615152517,18739.286737781855,13931.806126513044,4807.480611268812,15354.323272967342,4653.416363900628,10700.906909066714,14895.47470898262,1517.575767437772,4166.111855664294,9211.787085880555,3465.80248239223
